rate_mtps,section,key,result_value,resulting_ini_line,source_kind,source_identity,source_reference,source_column,source_value,source_unit,derivation
800,dram_structure,protocol,DDR3,protocol = DDR3,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,Description p.1,DDR3L SDRAM,device family,declared,direct protocol family; result DDR3
800,dram_structure,bankgroups,1,bankgroups = 1,dramsim3,29817593b3389f1337235d63cac515024ab8fd6e,pinned DRAMsim3 DDR3 configuration semantics,DDR3 bankgroups representation,configured,declared,DDR3 has no bank-group address; encode one group; result 1
800,dram_structure,banks_per_group,8,banks_per_group = 8,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 2, Bank address row",512 Meg x 8,8 banks,declared,direct x8 bank count; result 8
800,dram_structure,rows,65536,rows = 65536,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 2, Row address row",512 Meg x 8,64K (A[15:0]),declared,64K = 65536 rows; result 65536
800,dram_structure,columns,1024,columns = 1024,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 2, Column address row",512 Meg x 8,1K (A[9:0]),declared,1K = 1024 columns; result 1024
800,dram_structure,device_width,8,device_width = 8,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 2, Configuration row",512 Meg x 8,64 Meg x 8 x 8 banks,declared,direct x8 device width; result 8
800,dram_structure,BL,8,BL = 8,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Features p.1, fixed burst length bullet",all configurations,fixed burst length (BL) of 8,declared,direct BL8 feature; result 8
800,timing,tCK,2.5,tCK = 2.5,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 9 (p.33), tCK row",DDR3L-800 non-E timing point,2.5,ns,direct selected table value
800,timing,AL,0,AL = 0,scientific_contract,4a57c1278e4ff074cba471dd401669e07f1e9d50c8c94f42318a61d9336a52ff,controlled DDR3L geometry/profile controls,all rates,0,configured,locked additive latency
800,timing,CL,6,CL = 6,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 9 (p.33), CL row",DDR3L-800 non-E timing point,6,CK,direct selected table value
800,timing,CWL,5,CWL = 5,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 53 backward-compatible 800 point (pp.78–80), CWL row",DDR3L-800,5,CK,direct supported CWL at selected CL/tCK
800,timing,tRCD,6,tRCD = 6,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 9 (p.33), tRCD row",DDR3L-800 non-E timing point,6,CK,direct selected table value
800,timing,tRP,6,tRP = 6,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 9 (p.33), tRP row",DDR3L-800 non-E timing point,6,CK,direct selected table value
800,timing,tRAS,15,tRAS = 15,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 9 (p.33), tRAS row",DDR3L-800 non-E timing point,15,CK,direct selected table value
800,timing,tRFC,104,tRFC = 104,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 9 (p.33), tRFC 4Gb row",DDR3L-800 non-E timing point,104,CK,direct selected table value
800,timing,tRFC2,104,tRFC2 = 104,dramsim3,29817593b3389f1337235d63cac515024ab8fd6e,pinned DRAMsim3 DDR3 configuration semantics,timing,104,configured,DDR3 has no fine-granularity refresh; copy tRFC
800,timing,tRFC4,104,tRFC4 = 104,dramsim3,29817593b3389f1337235d63cac515024ab8fd6e,pinned DRAMsim3 DDR3 configuration semantics,timing,104,configured,DDR3 has no fine-granularity refresh; copy tRFC
800,timing,REFI,3120,REFI = 3120,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 58 (pp.83–91), REFI row",DDR3L-800,7.8,us,7800 ns / tCK; exact integer for locked rational tCK = 3120 CK
800,timing,tRPRE,0,tRPRE = 0,dramsim3,29817593b3389f1337235d63cac515024ab8fd6e,pinned DRAMsim3 DDR3 configuration semantics,timing,0,configured,DDR3 parser-required non-DDR4 placeholder
800,timing,tWPRE,0,tWPRE = 0,dramsim3,29817593b3389f1337235d63cac515024ab8fd6e,pinned DRAMsim3 DDR3 configuration semantics,timing,0,configured,DDR3 parser-required non-DDR4 placeholder
800,timing,tRRD_S,4,tRRD_S = 4,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 9 (p.33), tRRD x4/x8 row",DDR3L-800 non-E timing point,4,CK,direct selected table value
800,timing,tRRD_L,4,tRRD_L = 4,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 9 (p.33), tRRD x4/x8 row",DDR3L-800 non-E timing point,4,CK,direct selected table value
800,timing,tWTR_S,4,tWTR_S = 4,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 58 (pp.83–91), tWTR_S row",DDR3L-800,greater of 4 CK or 7.5 ns,CK/ns,"max(4 CK, ceil(7.5 ns / tCK)) = 4 CK"
800,timing,tWTR_L,4,tWTR_L = 4,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 58 (pp.83–91), tWTR_L row",DDR3L-800,greater of 4 CK or 7.5 ns,CK/ns,"max(4 CK, ceil(7.5 ns / tCK)) = 4 CK"
800,timing,tFAW,16,tFAW = 16,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 9 (p.33), tFAW x4/x8 row",DDR3L-800 non-E timing point,16,CK,direct selected table value
800,timing,tWR,6,tWR = 6,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 58 (pp.83–91), tWR row",DDR3L-800,15,ns,ceil(15 ns / tCK) = 6 CK
800,timing,tWR2,6,tWR2 = 6,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 58 (pp.83–91), tWR2 row",DDR3L-800,15,ns,ceil(15 ns / tCK) = 6 CK
800,timing,tRTP,4,tRTP = 4,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 58 (pp.83–91), tRTP row",DDR3L-800,greater of 4 CK or 7.5 ns,CK/ns,"max(4 CK, ceil(7.5 ns / tCK)) = 4 CK"
800,timing,tCCD_S,4,tCCD_S = 4,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 58 (pp.83–91), tCCD_S row",DDR3L-800,4,CK,4 CK = 4 CK
800,timing,tCCD_L,4,tCCD_L = 4,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 58 (pp.83–91), tCCD_L row",DDR3L-800,4,CK,4 CK = 4 CK
800,timing,tCKE,3,tCKE = 3,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 58 (pp.83–91), tCKE row",DDR3L-800,greater of 3 CK or 7.5 ns,CK/ns,"max(3 CK, ceil(rate-specific ns minimum / tCK)) = 3 CK"
800,timing,tCKESR,4,tCKESR = 4,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 58 (pp.83–91), tCKESR row",DDR3L-800,tCKE (MIN) + 1 CK,CK,tCKE + 1 CK = 4 CK
800,timing,tXS,108,tXS = 108,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 58 (pp.83–91), tXS row",DDR3L-800,greater of 5 CK or tRFC + 10 ns,CK/ns,"contract-conservative componentwise conversion: max(5 CK, ceil(260 ns / tCK) + ceil(10 ns / tCK)) = 108 CK"
800,timing,tXP,3,tXP = 3,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 58 (pp.83–91), tXP row",DDR3L-800,greater of 3 CK or 7.5 ns,CK/ns,"max(3 CK, ceil(7.5 ns / tCK)) = 3 CK"
800,timing,tRTRS,1,tRTRS = 1,dramsim3,29817593b3389f1337235d63cac515024ab8fd6e,pinned DRAMsim3 DDR3 configuration semantics,timing,1,configured,DRAMsim3 DDR3 rank-to-rank switch default
800,power,VDD,1.35,VDD = 1.35,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 20 (p.44), x8 IDD maximum-limits row",DDR3L-1066 x8,1.35,V,direct value; the 800 operating point uses the documented 1066-device limits
800,power,IDD0,44,IDD0 = 44,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 20 (p.44), x8 IDD maximum-limits row",DDR3L-1066 x8,44,mA,direct value; the 800 operating point uses the documented 1066-device limits
800,power,IPP0,0.0,IPP0 = 0.0,dramsim3,29817593b3389f1337235d63cac515024ab8fd6e,pinned DRAMsim3 DDR3 configuration semantics,power,0.0,configured,DDR3 power-model placeholder unused by DDR3L IDD model
800,power,IDD2P,18,IDD2P = 18,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 20 (p.44), x8 IDD maximum-limits row",DDR3L-1066 x8,18,mA,direct value; the 800 operating point uses the documented 1066-device limits
800,power,IDD2N,28,IDD2N = 28,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 20 (p.44), x8 IDD maximum-limits row",DDR3L-1066 x8,28,mA,direct value; the 800 operating point uses the documented 1066-device limits
800,power,IDD3P,32,IDD3P = 32,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 20 (p.44), x8 IDD maximum-limits row",DDR3L-1066 x8,32,mA,direct value; the 800 operating point uses the documented 1066-device limits
800,power,IDD3N,32,IDD3N = 32,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 20 (p.44), x8 IDD maximum-limits row",DDR3L-1066 x8,32,mA,direct value; the 800 operating point uses the documented 1066-device limits
800,power,IDD4W,95,IDD4W = 95,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 20 (p.44), x8 IDD maximum-limits row",DDR3L-1066 x8,95,mA,direct value; the 800 operating point uses the documented 1066-device limits
800,power,IDD4R,123,IDD4R = 123,datasheet,aa71e4a25901da402147abc017818e5d52fa214c88d73f6090c229edd558be7b,"Micron Table 20 (p.44), x8 IDD maximum-limits row",DDR3L-1066 x8,123,mA,direct value; the 800 operating point uses the documented 1066-device limits
