architecture,capacity_gib_binary,capacity_gb_decimal,channels,ranks_per_channel,8gbit_x8_package_count,4gbit_physical_die_count,price_case,delivery_case,unit_package_price_usd,imputed_physical_die_price_usd,total_dram_package_cost_usd,total_imputed_physical_die_cost_usd,capacity_gib_per_dram_die_dollar,capacity_gb_decimal_per_dram_die_dollar,pin_rate_ceiling_gbs,assumed_delivery_efficiency,modeled_effective_gbs,effective_gbs_per_dram_die_dollar,evidence_type
8GB_4ch_x16_1rank,8,8.590,4,1,8,16,low_snapshot,low_delivery,39.32,19.66,314.56,314.56,0.025432,0.027308,6.400,0.50,3.200,0.010173,analytical-cost-sensitivity
8GB_4ch_x16_1rank,8,8.590,4,1,8,16,low_snapshot,central_delivery,39.32,19.66,314.56,314.56,0.025432,0.027308,6.400,0.70,4.480,0.014242,analytical-cost-sensitivity
8GB_4ch_x16_1rank,8,8.590,4,1,8,16,low_snapshot,high_delivery,39.32,19.66,314.56,314.56,0.025432,0.027308,6.400,0.85,5.440,0.017294,analytical-cost-sensitivity
8GB_4ch_x16_1rank,8,8.590,4,1,8,16,midpoint_sensitivity,low_delivery,68.21,34.10,545.68,545.68,0.014661,0.015742,6.400,0.50,3.200,0.005864,analytical-cost-sensitivity
8GB_4ch_x16_1rank,8,8.590,4,1,8,16,midpoint_sensitivity,central_delivery,68.21,34.10,545.68,545.68,0.014661,0.015742,6.400,0.70,4.480,0.008210,analytical-cost-sensitivity
8GB_4ch_x16_1rank,8,8.590,4,1,8,16,midpoint_sensitivity,high_delivery,68.21,34.10,545.68,545.68,0.014661,0.015742,6.400,0.85,5.440,0.009969,analytical-cost-sensitivity
8GB_4ch_x16_1rank,8,8.590,4,1,8,16,high_snapshot,low_delivery,97.10,48.55,776.80,776.80,0.010299,0.011058,6.400,0.50,3.200,0.004119,analytical-cost-sensitivity
8GB_4ch_x16_1rank,8,8.590,4,1,8,16,high_snapshot,central_delivery,97.10,48.55,776.80,776.80,0.010299,0.011058,6.400,0.70,4.480,0.005767,analytical-cost-sensitivity
8GB_4ch_x16_1rank,8,8.590,4,1,8,16,high_snapshot,high_delivery,97.10,48.55,776.80,776.80,0.010299,0.011058,6.400,0.85,5.440,0.007003,analytical-cost-sensitivity
16GB_4ch_x16_2rank,16,17.180,4,2,16,32,low_snapshot,low_delivery,39.32,19.66,629.12,629.12,0.025432,0.027308,6.400,0.50,3.200,0.005086,analytical-cost-sensitivity
16GB_4ch_x16_2rank,16,17.180,4,2,16,32,low_snapshot,central_delivery,39.32,19.66,629.12,629.12,0.025432,0.027308,6.400,0.70,4.480,0.007121,analytical-cost-sensitivity
16GB_4ch_x16_2rank,16,17.180,4,2,16,32,low_snapshot,high_delivery,39.32,19.66,629.12,629.12,0.025432,0.027308,6.400,0.85,5.440,0.008647,analytical-cost-sensitivity
16GB_4ch_x16_2rank,16,17.180,4,2,16,32,midpoint_sensitivity,low_delivery,68.21,34.10,1091.36,1091.36,0.014661,0.015742,6.400,0.50,3.200,0.002932,analytical-cost-sensitivity
16GB_4ch_x16_2rank,16,17.180,4,2,16,32,midpoint_sensitivity,central_delivery,68.21,34.10,1091.36,1091.36,0.014661,0.015742,6.400,0.70,4.480,0.004105,analytical-cost-sensitivity
16GB_4ch_x16_2rank,16,17.180,4,2,16,32,midpoint_sensitivity,high_delivery,68.21,34.10,1091.36,1091.36,0.014661,0.015742,6.400,0.85,5.440,0.004985,analytical-cost-sensitivity
16GB_4ch_x16_2rank,16,17.180,4,2,16,32,high_snapshot,low_delivery,97.10,48.55,1553.60,1553.60,0.010299,0.011058,6.400,0.50,3.200,0.002060,analytical-cost-sensitivity
16GB_4ch_x16_2rank,16,17.180,4,2,16,32,high_snapshot,central_delivery,97.10,48.55,1553.60,1553.60,0.010299,0.011058,6.400,0.70,4.480,0.002884,analytical-cost-sensitivity
16GB_4ch_x16_2rank,16,17.180,4,2,16,32,high_snapshot,high_delivery,97.10,48.55,1553.60,1553.60,0.010299,0.011058,6.400,0.85,5.440,0.003502,analytical-cost-sensitivity
