scenario,scheduler,price_case,dram_die_cost_usd,estimated_tokens_per_s,estimated_tokens_per_s_per_dram_die_dollar,evidence_type,claim_boundary
batch1_decode1,S0,low_snapshot,314.56,2.345179753,0.007455429021,hybrid-modeled+dram-die-cost-sensitivity,"DRAM-die denominator only; excludes FPGA, PCB, power delivery, cooling, assembly, and software cost"
batch1_decode1,S0,midpoint_sensitivity,545.68,2.345179753,0.004297719823,hybrid-modeled+dram-die-cost-sensitivity,"DRAM-die denominator only; excludes FPGA, PCB, power delivery, cooling, assembly, and software cost"
batch1_decode1,S0,high_snapshot,776.80,2.345179753,0.003019026459,hybrid-modeled+dram-die-cost-sensitivity,"DRAM-die denominator only; excludes FPGA, PCB, power delivery, cooling, assembly, and software cost"
batch1_decode1,S0-physical,low_snapshot,314.56,2.345174556,0.007455412500,hybrid-modeled+dram-die-cost-sensitivity,"DRAM-die denominator only; excludes FPGA, PCB, power delivery, cooling, assembly, and software cost"
batch1_decode1,S0-physical,midpoint_sensitivity,545.68,2.345174556,0.004297710299,hybrid-modeled+dram-die-cost-sensitivity,"DRAM-die denominator only; excludes FPGA, PCB, power delivery, cooling, assembly, and software cost"
batch1_decode1,S0-physical,high_snapshot,776.80,2.345174556,0.003019019768,hybrid-modeled+dram-die-cost-sensitivity,"DRAM-die denominator only; excludes FPGA, PCB, power delivery, cooling, assembly, and software cost"
batch1_decode1,S1,low_snapshot,314.56,2.353900368,0.007483152238,hybrid-modeled+dram-die-cost-sensitivity,"DRAM-die denominator only; excludes FPGA, PCB, power delivery, cooling, assembly, and software cost"
batch1_decode1,S1,midpoint_sensitivity,545.68,2.353900368,0.004313701012,hybrid-modeled+dram-die-cost-sensitivity,"DRAM-die denominator only; excludes FPGA, PCB, power delivery, cooling, assembly, and software cost"
batch1_decode1,S1,high_snapshot,776.80,2.353900368,0.003030252791,hybrid-modeled+dram-die-cost-sensitivity,"DRAM-die denominator only; excludes FPGA, PCB, power delivery, cooling, assembly, and software cost"
batch1_decode1,S2,low_snapshot,314.56,2.342935208,0.007448293515,hybrid-modeled+dram-die-cost-sensitivity,"DRAM-die denominator only; excludes FPGA, PCB, power delivery, cooling, assembly, and software cost"
