workload,clusters,evidence_type,seed_count,process_repetitions,total_completion_cycles_median,total_completion_cycles_min,total_completion_cycles_max,p95_tile_latency_cycles_median,p95_tile_latency_cycles_min,p95_tile_latency_cycles_max,throughput_jobs_per_kcycle_median,throughput_jobs_per_kcycle_min,throughput_jobs_per_kcycle_max,factor,factor_value,bundles,channels,link_width_bits
mixed,1.0,analytical-model,5,3,726516.0,707984.0,731928.0,686045.05,667152.25,694212.25,1.376432177680877,1.3662546042780164,1.4124612985604195,clusters,1.0,,,
mixed,2.0,analytical-model,5,3,484478.0,462287.0,488446.0,451461.54999999993,425763.0,453746.94999999995,2.0640772130003837,2.0473092214901953,2.1631583842937396,clusters,2.0,,,
mixed,4.0,analytical-model,5,3,434075.0,409625.0,448968.0,394375.44999999995,372474.14999999997,410971.15,2.303749352070495,2.227330232889649,2.4412572474824534,clusters,4.0,,,
skew,1.0,analytical-model,5,3,369800.0,363068.0,376194.0,350921.45,344217.64999999997,356507.45,2.7041644131963225,2.6582029484787104,2.7543049786816796,clusters,1.0,,,
skew,2.0,analytical-model,5,3,270744.0,258328.0,273321.0,252710.55,242250.24999999994,255204.19999999998,3.693525987648849,3.658701673124275,3.871047660338794,clusters,2.0,,,
skew,4.0,analytical-model,5,3,255897.0,247360.0,256318.0,233625.15,229882.5,236424.6,3.907822287873637,3.901403725060277,4.042690815006468,clusters,4.0,,,
hotspot,,analytical-model,5,3,192672.0,189888.0,193728.0,181745.34999999998,179343.75,183575.75,5.190167746221558,5.1618764453254045,5.266262217728345,channels,1.0,,1.0,
hotspot,,analytical-model,5,3,177216.0,175808.0,180800.0,166383.94999999998,165757.9,170639.9,5.642831347056699,5.530973451327434,5.688023298143429,channels,2.0,,2.0,
hotspot,,analytical-model,5,3,170816.0,168512.0,173632.0,159940.25,158348.3,163609.05,5.854252529037092,5.7593070401769255,5.934295480440562,channels,4.0,,4.0,
mixed,,analytical-model,5,3,574770.0,557952.0,578564.0,533791.65,517088.85,540567.15,1.7398263653287402,1.7284172537523939,1.7922688690066528,channels,1.0,,1.0,
mixed,,analytical-model,5,3,475730.0,447268.0,485858.0,436030.45,410117.14999999997,447697.14999999997,2.102032665587623,2.0582145400507965,2.2357959880876788,channels,2.0,,2.0,
mixed,,analytical-model,5,3,434075.0,409625.0,448968.0,394375.44999999995,372474.14999999997,410971.15,2.303749352070495,2.227330232889649,2.4412572474824534,channels,4.0,,4.0,
mixed,,analytical-model,5,3,586964.0,572048.0,591320.0,545985.6499999999,531184.85,553323.15,1.7036819975330684,1.6911317053372117,1.7481050541213325,bundles,1.0,1.0,,
mixed,,analytical-model,5,3,468812.0,438739.0,471282.0,427833.64999999997,401588.14999999997,431582.45,2.133051201761047,2.1218718304539532,2.2792594230282694,bundles,2.0,2.0,,
mixed,,analytical-model,5,3,434075.0,409625.0,448968.0,394375.44999999995,372474.14999999997,410971.15,2.303749352070495,2.227330232889649,2.4412572474824534,bundles,4.0,4.0,,
skew,,analytical-model,5,3,300432.0,295020.0,305562.0,278561.64999999997,277542.5,285668.6,3.3285402353943656,3.272658249389649,3.3896007050369468,bundles,1.0,1.0,,
skew,,analytical-model,5,3,263920.0,251788.0,265196.0,242517.15,234310.5,244026.6,3.7890269778720826,3.7707959396069324,3.971595151476639,bundles,2.0,2.0,,
skew,,analytical-model,5,3,255897.0,247360.0,256318.0,233625.15,229882.5,236424.6,3.907822287873637,3.901403725060277,4.042690815006468,bundles,4.0,4.0,,
mixed,,analytical-model,5,3,1579937.0,1475349.0,1614701.0,1424374.15,1329938.0499999998,1460316.75,0.6329366297516926,0.6193097050165944,0.6778057259672118,link_width,32.0,,,32.0
mixed,,analytical-model,5,3,801732.0,751333.0,820662.0,723411.35,678095.4499999998,744783.6,1.2472995963738507,1.2185284562950398,1.3309677599679504,link_width,64.0,,,64.0
mixed,,analytical-model,5,3,434075.0,409625.0,448968.0,394375.44999999995,372474.14999999997,410971.15,2.303749352070495,2.227330232889649,2.4412572474824534,link_width,128.0,,,128.0
mixed,,analytical-model,5,3,274960.0,261387.0,280344.0,254613.39999999997,241005.25,260587.3,3.636892638929299,3.5670462003823875,3.8257449681889306,link_width,256.0,,,256.0
