workload,scheduler,evidence_type,seed_count,process_repetitions,total_completion_cycles_median,total_completion_cycles_min,total_completion_cycles_max,p50_tile_latency_cycles_median,p50_tile_latency_cycles_min,p50_tile_latency_cycles_max,p95_tile_latency_cycles_median,p95_tile_latency_cycles_min,p95_tile_latency_cycles_max,p99_tile_latency_cycles_median,p99_tile_latency_cycles_min,p99_tile_latency_cycles_max,cluster_utilization_mean_median,cluster_utilization_mean_min,cluster_utilization_mean_max,cluster_compute_utilization_mean_median,cluster_compute_utilization_mean_min,cluster_compute_utilization_mean_max,cluster_reservation_occupancy_mean_median,cluster_reservation_occupancy_mean_min,cluster_reservation_occupancy_mean_max,cluster_idle_cycles_median,cluster_idle_cycles_min,cluster_idle_cycles_max,cluster_compute_idle_cycles_median,cluster_compute_idle_cycles_min,cluster_compute_idle_cycles_max,successful_steals_median,successful_steals_min,successful_steals_max,remote_weight_bytes_median,remote_weight_bytes_min,remote_weight_bytes_max,activation_retransmission_bytes_median,activation_retransmission_bytes_min,activation_retransmission_bytes_max,partial_sum_traffic_bytes_median,partial_sum_traffic_bytes_min,partial_sum_traffic_bytes_max
balanced,Oracle,analytical-model,5,3,22506.0,22506.0,22506.0,10299.0,10299.0,10299.0,19524.0,19524.0,19524.0,20344.0,20344.0,20344.0,0.1777303830089754,0.1777303830089754,0.1777303830089754,0.1777303830089754,0.1777303830089754,0.1777303830089754,0.9998667022127432,0.9998667022127432,0.9998667022127432,12.0,12.0,12.0,74024.0,74024.0,74024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balanced,S0,analytical-model,5,3,22506.0,22506.0,22506.0,10299.0,10299.0,10299.0,19524.0,19524.0,19524.0,20344.0,20344.0,20344.0,0.1777303830089754,0.1777303830089754,0.1777303830089754,0.1777303830089754,0.1777303830089754,0.1777303830089754,0.9997334044254865,0.9997334044254865,0.9997334044254865,24.0,24.0,24.0,74024.0,74024.0,74024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balanced,S0-physical,analytical-model,5,3,24256.0,24256.0,24256.0,11177.5,11177.5,11177.5,21190.0,21190.0,21190.0,22080.0,22080.0,22080.0,0.16490765171503957,0.16490765171503957,0.16490765171503957,0.16490765171503957,0.16490765171503957,0.16490765171503957,0.9997526385224275,0.9997526385224275,0.9997526385224275,24.0,24.0,24.0,81024.0,81024.0,81024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balanced,S1,analytical-model,5,3,22506.0,22506.0,22506.0,10299.0,10299.0,10299.0,19524.0,19524.0,19524.0,20344.0,20344.0,20344.0,0.1777303830089754,0.1777303830089754,0.1777303830089754,0.1777303830089754,0.1777303830089754,0.1777303830089754,0.9997334044254865,0.9997334044254865,0.9997334044254865,24.0,24.0,24.0,74024.0,74024.0,74024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balanced,S2,analytical-model,5,3,22506.0,22506.0,22506.0,10299.0,10299.0,10299.0,19524.0,19524.0,19524.0,20344.0,20344.0,20344.0,0.1777303830089754,0.1777303830089754,0.1777303830089754,0.1777303830089754,0.1777303830089754,0.1777303830089754,0.9997334044254865,0.9997334044254865,0.9997334044254865,24.0,24.0,24.0,74024.0,74024.0,74024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balanced,S3,analytical-model,5,3,22506.0,22506.0,22506.0,10299.0,10299.0,10299.0,19524.0,19524.0,19524.0,20344.0,20344.0,20344.0,0.1777303830089754,0.1777303830089754,0.1777303830089754,0.1777303830089754,0.1777303830089754,0.1777303830089754,0.9997334044254865,0.9997334044254865,0.9997334044254865,24.0,24.0,24.0,74024.0,74024.0,74024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bursty,Oracle,analytical-model,5,3,53448.0,50758.0,53934.0,14132.0,13263.5,14486.0,45463.399999999994,44370.899999999994,46640.549999999996,49059.149999999994,47261.4,49943.399999999994,0.17693428475361453,0.16998553787963067,0.17802119862878757,0.17693428475361453,0.16998553787963067,0.17802119862878757,0.9925233460735253,0.9921394910461828,0.9968006286484059,1518.0,684.0,1668.0,175872.0,166888.0,179064.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bursty,S0,analytical-model,5,3,76262.0,73698.0,79112.0,36117.5,35447.0,39607.5,70275.94999999998,67569.59999999999,73011.65,73359.28,70630.42,75887.10999999999,0.12064397799062564,0.119830114268379,0.12439957665065537,0.12064397799062564,0.119830114268379,0.12439957665065537,0.9984269920521703,0.9970487665879672,0.9992826589441802,494.0,216.0,870.0,267688.0,258120.0,278528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bursty,S0-physical,analytical-model,5,3,77358.0,74812.0,80102.0,36672.0,36018.0,40076.0,71331.7,68655.25,73972.2,74448.26,71737.42,76861.31999999999,0.11908623442587912,0.1183419553401873,0.12254718494359193,0.11908623442587912,0.1183419553401873,0.12254718494359193,0.9983907265618124,0.9970693204298775,0.9993156964180473,512.0,209.0,877.0,272072.0,262576.0,282488.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bursty,S1,analytical-model,5,3,67976.0,65652.0,71620.0,32130.0,30706.5,32957.0,61001.049999999996,59041.5,63644.6,64054.24,61854.34,68217.73,0.13621514409053787,0.13236526110025132,0.13934329763445924,0.13621514409053787,0.13236526110025132,0.13934329763445924,0.9572905728619764,0.9269338173694499,0.978195637604338,11714.0,5726.0,20932.0,234016.0,226464.0,248560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
