workload,scheduler,evidence_type,seed_count,process_repetitions,p95_tile_latency_cycles_median,p95_tile_latency_cycles_min,p95_tile_latency_cycles_max,total_completion_cycles_median,total_completion_cycles_min,total_completion_cycles_max,successful_steals_median,successful_steals_min,successful_steals_max,remote_weight_bytes_median,remote_weight_bytes_min,remote_weight_bytes_max,activation_retransmission_bytes_median,activation_retransmission_bytes_min,activation_retransmission_bytes_max,partial_sum_traffic_bytes_median,partial_sum_traffic_bytes_min,partial_sum_traffic_bytes_max
balanced,Oracle,analytical-model,5,3,19524.0,19524.0,19524.0,22506.0,22506.0,22506.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balanced,S0,analytical-model,5,3,19524.0,19524.0,19524.0,22506.0,22506.0,22506.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balanced,S0-physical,analytical-model,5,3,21190.0,21190.0,21190.0,24256.0,24256.0,24256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balanced,S1,analytical-model,5,3,19524.0,19524.0,19524.0,22506.0,22506.0,22506.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balanced,S2,analytical-model,5,3,19524.0,19524.0,19524.0,22506.0,22506.0,22506.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balanced,S3,analytical-model,5,3,19524.0,19524.0,19524.0,22506.0,22506.0,22506.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bursty,Oracle,analytical-model,5,3,45463.399999999994,44370.899999999994,46640.549999999996,53448.0,50758.0,53934.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bursty,S0,analytical-model,5,3,70275.94999999998,67569.59999999999,73011.65,76262.0,73698.0,79112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bursty,S0-physical,analytical-model,5,3,71331.7,68655.25,73972.2,77358.0,74812.0,80102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bursty,S1,analytical-model,5,3,61001.049999999996,59041.5,63644.6,67976.0,65652.0,71620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bursty,S2,analytical-model,5,3,60892.649999999994,59041.5,62294.05,66934.0,64984.0,68742.0,22.0,9.0,42.0,58368.0,21504.0,99328.0,3648.0,1344.0,6208.0,1408.0,576.0,2688.0
bursty,S3,analytical-model,5,3,60890.85,59041.5,62277.94999999999,66958.0,64952.0,69166.0,24.0,14.0,53.0,44032.0,22528.0,79872.0,2752.0,1408.0,4992.0,1536.0,896.0,3392.0
hotspot,Oracle,analytical-model,5,3,157562.74999999997,155307.7,160408.59999999998,171242.0,168991.0,174080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
