node_index,node_name,domain,op_type,layer,operator_category,projection_class,K,N,dtype,weight_initializer,source_weight_bytes,activation_bytes,output_bytes,reuse,external_data_file,external_data_offset,estimated_memory_address,candidate_cluster,candidate_channel,candidate_bundle,evidence_type
0,/model/embed_tokens/Gather,,Gather,,other,,,,,,,,,,,,,,,,graph-derived
1,/model/embed_tokens/Constant,,Constant,,other,,,,,,,,,,,,,,,,graph-derived
2,/model/embed_tokens/Mul,,Mul,,other,,,,,,,,,,,,,,,,graph-derived
3,/model/Shape,,Shape,,other,,,,,,,,,,,,,,,,graph-derived
4,/model/Constant,,Constant,,other,,,,,,,,,,,,,,,,graph-derived
5,/model/Gather,,Gather,,other,,,,,,,,,,,,,,,,graph-derived
6,/model/Shape_1,,Shape,,other,,,,,,,,,,,,,,,,graph-derived
7,/model/Constant_1,,Constant,,other,,,,,,,,,,,,,,,,graph-derived
8,/model/Gather_1,,Gather,,other,,,,,,,,,,,,,,,,graph-derived
9,/model/Add,,Add,,other,,,,,,,,,,,,,,,,graph-derived
10,/model/Cast,,Cast,,other,,,,,,,,,,,,,,,,graph-derived
11,/model/Cast_1,,Cast,,other,,,,,,,,,,,,,,,,graph-derived
12,/model/Constant_2,,Constant,,other,,,,,,,,,,,,,,,,graph-derived
13,/model/Range,,Range,,other,,,,,,,,,,,,,,,,graph-derived
14,/model/Constant_3,,Constant,,other,,,,,,,,,,,,,,,,graph-derived
15,/model/Unsqueeze,,Unsqueeze,,other,,,,,,,,,,,,,,,,graph-derived
16,/model/Cast_2,,Cast,,other,,,,,,,,,,,,,,,,graph-derived
17,/model/Shape_2,,Shape,,other,,,,,,,,,,,,,,,,graph-derived
18,/model/Constant_4,,Constant,,other,,,,,,,,,,,,,,,,graph-derived
19,/model/Gather_2,,Gather,,other,,,,,,,,,,,,,,,,graph-derived
20,/model/Add_1,,Add,,other,,,,,,,,,,,,,,,,graph-derived
21,/model/Shape_3,,Shape,,other,,,,,,,,,,,,,,,,graph-derived
22,/model/Constant_5,,Constant,,other,,,,,,,,,,,,,,,,graph-derived
23,/model/Gather_3,,Gather,,other,,,,,,,,,,,,,,,,graph-derived
24,/model/Constant_6,,Constant,,other,,,,,,,,,,,,,,,,graph-derived
25,/model/Unsqueeze_1,,Unsqueeze,,other,,,,,,,,,,,,,,,,graph-derived
26,/model/Constant_7,,Constant,,other,,,,,,,,,,,,,,,,graph-derived
27,/model/Unsqueeze_2,,Unsqueeze,,other,,,,,,,,,,,,,,,,graph-derived
28,/model/Cast_3,,Cast,,other,,,,,,,,,,,,,,,,graph-derived
29,/model/Constant_8,,Constant,,other,,,,,,,,,,,,,,,,graph-derived
30,/model/Constant_9,,Constant,,other,,,,,,,,,,,,,,,,graph-derived
31,/model/Range_1,,Range,,other,,,,,,,,,,,,,,,,graph-derived
32,/model/Constant_10,,Constant,,other,,,,,,,,,,,,,,,,graph-derived
33,/model/Unsqueeze_3,,Unsqueeze,,other,,,,,,,,,,,,,,,,graph-derived
34,/model/Constant_11,,Constant,,other,,,,,,,,,,,,,,,,graph-derived
35,/model/Unsqueeze_4,,Unsqueeze,,other,,,,,,,,,,,,,,,,graph-derived
36,/model/Constant_12,,Constant,,other,,,,,,,,,,,,,,,,graph-derived
37,/model/Unsqueeze_5,,Unsqueeze,,other,,,,,,,,,,,,,,,,graph-derived
38,/model/Cast_4,,Cast,,other,,,,,,,,,,,,,,,,graph-derived
39,/model/Constant_13,,Constant,,other,,,,,,,,,,,,,,,,graph-derived
40,/model/Constant_14,,Constant,,other,,,,,,,,,,,,,,,,graph-derived
41,/model/Range_2,,Range,,other,,,,,,,,,,,,,,,,graph-derived
42,/model/Constant_15,,Constant,,other,,,,,,,,,,,,,,,,graph-derived
43,/model/Unsqueeze_6,,Unsqueeze,,other,,,,,,,,,,,,,,,,graph-derived
44,/model/Constant_16,,Constant,,other,,,,,,,,,,,,,,,,graph-derived
45,/model/Unsqueeze_7,,Unsqueeze,,other,,,,,,,,,,,,,,,,graph-derived
46,/model/Constant_17,,Constant,,other,,,,,,,,,,,,,,,,graph-derived
47,/model/Unsqueeze_8,,Unsqueeze,,other,,,,,,,,,,,,,,,,graph-derived
48,/model/Constant_18,,Constant,,other,,,,,,,,,,,,,,,,graph-derived
49,/model/ConstantOfShape,,ConstantOfShape,,other,,,,,,,,,,,,,,,,graph-derived
