node_index,node_name,domain,op_type,layer,operator_category,projection_class,K,N,dtype,weight_initializer,source_weight_bytes,activation_bytes,output_bytes,reuse,external_data_file,external_data_offset,estimated_memory_address,candidate_cluster,candidate_channel,candidate_bundle,evidence_type,projection_id,modeled_int8_weight_bytes,modeled_int8_activation_bytes,modeled_int32_output_bytes,quantization_state,claim_boundary
190,/model/layers.0/self_attn/q_proj/MatMul,,MatMul,0,attention_projection,q_proj,1152,1024,float,onnx::MatMul_9586,4718592,4608,4096,once_per_decode_token,model.onnx_data,1207964160,1207964160,0,0,0,graph-derived,0,1179648,1152,4096,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
214,/model/layers.0/self_attn/k_proj/MatMul,,MatMul,0,attention_projection,k_proj,1152,256,float,onnx::MatMul_9593,1179648,4608,1024,once_per_decode_token,model.onnx_data,1212682752,1212682752,1,1,2,graph-derived,1,294912,1152,1024,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
217,/model/layers.0/self_attn/v_proj/MatMul,,MatMul,0,attention_projection,v_proj,1152,256,float,onnx::MatMul_9594,1179648,4608,1024,once_per_decode_token,model.onnx_data,1213862400,1213862400,2,3,0,graph-derived,2,294912,1152,1024,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
418,/model/layers.0/self_attn/o_proj/MatMul,,MatMul,0,attention_projection,o_proj,1024,1152,float,onnx::MatMul_9621,4718592,4096,4608,once_per_decode_token,model.onnx_data,1215044096,1215044096,3,1,2,graph-derived,3,1179648,1024,4608,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
442,/model/layers.0/mlp/gate_proj/MatMul,,MatMul,0,mlp_projection,gate_proj,1152,6912,float,onnx::MatMul_9626,31850496,4608,27648,once_per_decode_token,model.onnx_data,1219771904,1219771904,0,3,0,graph-derived,4,7962624,1152,27648,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
456,/model/layers.0/mlp/up_proj/MatMul,,MatMul,0,mlp_projection,up_proj,1152,6912,float,onnx::MatMul_9627,31850496,4608,27648,once_per_decode_token,model.onnx_data,1251622400,1251622400,1,2,2,graph-derived,5,7962624,1152,27648,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
458,/model/layers.0/mlp/down_proj/MatMul,,MatMul,0,mlp_projection,down_proj,6912,1152,float,onnx::MatMul_9628,31850496,27648,4608,once_per_decode_token,model.onnx_data,1283472896,1283472896,2,2,0,graph-derived,6,7962624,6912,4608,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
488,/model/layers.1/self_attn/q_proj/MatMul,,MatMul,1,attention_projection,q_proj,1152,1024,float,onnx::MatMul_9633,4718592,4608,4096,once_per_decode_token,model.onnx_data,1315332608,1315332608,0,1,3,graph-derived,7,1179648,1152,4096,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
512,/model/layers.1/self_attn/k_proj/MatMul,,MatMul,1,attention_projection,k_proj,1152,256,float,onnx::MatMul_9640,1179648,4608,1024,once_per_decode_token,model.onnx_data,1320051200,1320051200,1,2,1,graph-derived,8,294912,1152,1024,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
515,/model/layers.1/self_attn/v_proj/MatMul,,MatMul,1,attention_projection,v_proj,1152,256,float,onnx::MatMul_9641,1179648,4608,1024,once_per_decode_token,model.onnx_data,1321230848,1321230848,2,1,3,graph-derived,9,294912,1152,1024,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
712,/model/layers.1/self_attn/o_proj/MatMul,,MatMul,1,attention_projection,o_proj,1024,1152,float,onnx::MatMul_9668,4718592,4096,4608,once_per_decode_token,model.onnx_data,1322412544,1322412544,3,3,1,graph-derived,10,1179648,1024,4608,source_float32; accelerator cost uses explicit modeled-int8 transform,"Node order, shape, dtype, initializer and external-data offset are ONNX-derived; placement is deterministic modeled policy."
