projection_class,k_index,activation_int8,weight_n0_int8,weight_n1_int8,weight_n2_int8,weight_n3_int8,reference_n0_int32,reference_n1_int32,reference_n2_int32,reference_n3_int32,quantized_tile_sha256
o_proj,0,-124,-32,72,-9,34,3783,19577,-11581,-7508,a2136798e7f3979e2c3ad1799ae2a2b4499c9ec8827946a7bd8c5a9e25218ccb
o_proj,1,-107,44,-23,26,42,3783,19577,-11581,-7508,a2136798e7f3979e2c3ad1799ae2a2b4499c9ec8827946a7bd8c5a9e25218ccb
o_proj,2,-90,23,-58,-123,-66,3783,19577,-11581,-7508,a2136798e7f3979e2c3ad1799ae2a2b4499c9ec8827946a7bd8c5a9e25218ccb
o_proj,3,-73,-20,-39,-23,-1,3783,19577,-11581,-7508,a2136798e7f3979e2c3ad1799ae2a2b4499c9ec8827946a7bd8c5a9e25218ccb
o_proj,4,-56,-50,-15,39,0,3783,19577,-11581,-7508,a2136798e7f3979e2c3ad1799ae2a2b4499c9ec8827946a7bd8c5a9e25218ccb
o_proj,5,-39,127,14,-19,9,3783,19577,-11581,-7508,a2136798e7f3979e2c3ad1799ae2a2b4499c9ec8827946a7bd8c5a9e25218ccb
o_proj,6,-22,-40,-3,24,-18,3783,19577,-11581,-7508,a2136798e7f3979e2c3ad1799ae2a2b4499c9ec8827946a7bd8c5a9e25218ccb
o_proj,7,-5,0,-22,93,-104,3783,19577,-11581,-7508,a2136798e7f3979e2c3ad1799ae2a2b4499c9ec8827946a7bd8c5a9e25218ccb
o_proj,8,12,107,3,6,80,3783,19577,-11581,-7508,a2136798e7f3979e2c3ad1799ae2a2b4499c9ec8827946a7bd8c5a9e25218ccb
o_proj,9,29,-27,44,-16,-28,3783,19577,-11581,-7508,a2136798e7f3979e2c3ad1799ae2a2b4499c9ec8827946a7bd8c5a9e25218ccb
o_proj,10,46,66,33,-35,27,3783,19577,-11581,-7508,a2136798e7f3979e2c3ad1799ae2a2b4499c9ec8827946a7bd8c5a9e25218ccb
o_proj,11,63,-94,-55,102,-87,3783,19577,-11581,-7508,a2136798e7f3979e2c3ad1799ae2a2b4499c9ec8827946a7bd8c5a9e25218ccb
o_proj,12,80,99,97,-56,-76,3783,19577,-11581,-7508,a2136798e7f3979e2c3ad1799ae2a2b4499c9ec8827946a7bd8c5a9e25218ccb
o_proj,13,97,-21,2,-80,-31,3783,19577,-11581,-7508,a2136798e7f3979e2c3ad1799ae2a2b4499c9ec8827946a7bd8c5a9e25218ccb
o_proj,14,114,-18,-2,-36,1,3783,19577,-11581,-7508,a2136798e7f3979e2c3ad1799ae2a2b4499c9ec8827946a7bd8c5a9e25218ccb
o_proj,15,-124,-40,-84,67,-62,3783,19577,-11581,-7508,a2136798e7f3979e2c3ad1799ae2a2b4499c9ec8827946a7bd8c5a9e25218ccb
gate_proj,0,-124,-18,18,61,9,5026,-2583,-15699,-9278,e1a7fcdedcc41462fd799007b43c5d886c6a204d2752e253de2a8fb1ad1906db
gate_proj,1,-107,3,-62,15,-3,5026,-2583,-15699,-9278,e1a7fcdedcc41462fd799007b43c5d886c6a204d2752e253de2a8fb1ad1906db
gate_proj,2,-90,-43,7,25,-15,5026,-2583,-15699,-9278,e1a7fcdedcc41462fd799007b43c5d886c6a204d2752e253de2a8fb1ad1906db
gate_proj,3,-73,-3,5,47,-6,5026,-2583,-15699,-9278,e1a7fcdedcc41462fd799007b43c5d886c6a204d2752e253de2a8fb1ad1906db
gate_proj,4,-56,-1,45,87,49,5026,-2583,-15699,-9278,e1a7fcdedcc41462fd799007b43c5d886c6a204d2752e253de2a8fb1ad1906db
gate_proj,5,-39,-3,23,-127,4,5026,-2583,-15699,-9278,e1a7fcdedcc41462fd799007b43c5d886c6a204d2752e253de2a8fb1ad1906db
gate_proj,6,-22,15,-3,-65,27,5026,-2583,-15699,-9278,e1a7fcdedcc41462fd799007b43c5d886c6a204d2752e253de2a8fb1ad1906db
gate_proj,7,-5,16,91,19,5,5026,-2583,-15699,-9278,e1a7fcdedcc41462fd799007b43c5d886c6a204d2752e253de2a8fb1ad1906db
gate_proj,8,12,-30,-12,4,-25,5026,-2583,-15699,-9278,e1a7fcdedcc41462fd799007b43c5d886c6a204d2752e253de2a8fb1ad1906db
gate_proj,9,29,1,-14,-22,9,5026,-2583,-15699,-9278,e1a7fcdedcc41462fd799007b43c5d886c6a204d2752e253de2a8fb1ad1906db
gate_proj,10,46,5,-15,44,1,5026,-2583,-15699,-9278,e1a7fcdedcc41462fd799007b43c5d886c6a204d2752e253de2a8fb1ad1906db
gate_proj,11,63,-3,12,-91,-10,5026,-2583,-15699,-9278,e1a7fcdedcc41462fd799007b43c5d886c6a204d2752e253de2a8fb1ad1906db
gate_proj,12,80,-6,54,-86,-12,5026,-2583,-15699,-9278,e1a7fcdedcc41462fd799007b43c5d886c6a204d2752e253de2a8fb1ad1906db
gate_proj,13,97,17,16,70,-1,5026,-2583,-15699,-9278,e1a7fcdedcc41462fd799007b43c5d886c6a204d2752e253de2a8fb1ad1906db
gate_proj,14,114,-12,-24,-14,-26,5026,-2583,-15699,-9278,e1a7fcdedcc41462fd799007b43c5d886c6a204d2752e253de2a8fb1ad1906db
gate_proj,15,-124,2,39,-30,17,5026,-2583,-15699,-9278,e1a7fcdedcc41462fd799007b43c5d886c6a204d2752e253de2a8fb1ad1906db
lm_head,0,-124,-6,77,7,-8,15939,-4830,338,16112,917066bb94b2c3c7db66d58c085a92f2f5783bbd4c563e5e60a04bde461baf16
lm_head,1,-107,-104,-30,-11,-105,15939,-4830,338,16112,917066bb94b2c3c7db66d58c085a92f2f5783bbd4c563e5e60a04bde461baf16
lm_head,2,-90,7,-10,-28,19,15939,-4830,338,16112,917066bb94b2c3c7db66d58c085a92f2f5783bbd4c563e5e60a04bde461baf16
lm_head,3,-73,8,17,7,10,15939,-4830,338,16112,917066bb94b2c3c7db66d58c085a92f2f5783bbd4c563e5e60a04bde461baf16
lm_head,4,-56,-108,-127,-8,-109,15939,-4830,338,16112,917066bb94b2c3c7db66d58c085a92f2f5783bbd4c563e5e60a04bde461baf16
lm_head,5,-39,-26,14,-1,-22,15939,-4830,338,16112,917066bb94b2c3c7db66d58c085a92f2f5783bbd4c563e5e60a04bde461baf16
lm_head,6,-22,-11,28,-2,-21,15939,-4830,338,16112,917066bb94b2c3c7db66d58c085a92f2f5783bbd4c563e5e60a04bde461baf16
lm_head,7,-5,7,-27,14,11,15939,-4830,338,16112,917066bb94b2c3c7db66d58c085a92f2f5783bbd4c563e5e60a04bde461baf16
lm_head,8,12,-33,12,-8,-35,15939,-4830,338,16112,917066bb94b2c3c7db66d58c085a92f2f5783bbd4c563e5e60a04bde461baf16
lm_head,9,29,55,50,-5,56,15939,-4830,338,16112,917066bb94b2c3c7db66d58c085a92f2f5783bbd4c563e5e60a04bde461baf16
lm_head,10,46,-7,-48,-4,-4,15939,-4830,338,16112,917066bb94b2c3c7db66d58c085a92f2f5783bbd4c563e5e60a04bde461baf16
lm_head,11,63,-39,-33,12,-49,15939,-4830,338,16112,917066bb94b2c3c7db66d58c085a92f2f5783bbd4c563e5e60a04bde461baf16
lm_head,12,80,22,-19,-8,27,15939,-4830,338,16112,917066bb94b2c3c7db66d58c085a92f2f5783bbd4c563e5e60a04bde461baf16
lm_head,13,97,-32,83,-16,-27,15939,-4830,338,16112,917066bb94b2c3c7db66d58c085a92f2f5783bbd4c563e5e60a04bde461baf16
lm_head,14,114,18,-11,-4,13,15939,-4830,338,16112,917066bb94b2c3c7db66d58c085a92f2f5783bbd4c563e5e60a04bde461baf16
lm_head,15,-124,9,55,1,0,15939,-4830,338,16112,917066bb94b2c3c7db66d58c085a92f2f5783bbd4c563e5e60a04bde461baf16
