schema_version,evidence_type,scheduler,workload,seed,process_repetition,clusters,channels,bundles,link_width_bits,service_overlap_mode,jobs,ledger_sha256,completed_jobs,total_completion_cycles,throughput_jobs_per_kcycle,mean_tile_latency_cycles,p50_tile_latency_cycles,p95_tile_latency_cycles,p99_tile_latency_cycles,cluster_utilization_mean,cluster_compute_utilization_mean,cluster_reservation_occupancy_mean,cluster_idle_cycles,cluster_compute_idle_cycles,queue_wait_mean_cycles,max_queue_depth,queue_imbalance,ingress_backlog_final,steal_attempts,successful_steals,steal_success_rate,remote_weight_bytes,activation_retransmission_bytes,partial_sum_traffic_bytes,link_bundle_utilization_mean,ddr_channel_utilization_mean,request_serializer_wait,request_credit_wait,request_cdc_wait,outstanding_table_full_wait,response_serializer_wait,response_cdc_wait,consumer_fifo_full_wait,bundle_contention_wait,memory_command_wait,central_queue_control_cycles,oracle_resource_lower_bound_cycles,oracle_schedule_kind,starvation_ratio,completion_reordered,timed_out,correctness,input_job_id_count,completed_job_id_count,duplicate_completion_count,decode_tokens,model_clock_hz,modeled_total_int8_weight_bytes,modeled_total_link_bytes,modeled_projection_ms,claim_boundary
varp.k26.scheduler-model.v1,analytical-model,S0,gemma3_1b_projection_trace,0,0,4,4,4,128,full,183,c5c5856c2c9c34ec891f4170651df8b5257f1a519a3d83b8e9a531233a2d9592,183,44341176,0.004127089457437935,10517088.120218579,10467882.0,19750964.7,20934379.94,0.08807344216580995,0.08807344216580995,0.6046653002617702,70118422,161743584,9931042.863387978,179,0,0,0,0,0.0,0,0,0,0.35343856238724924,0.3522937686632398,62687343,10691628,183,0,180169,183,0,10691628,22319526,0,23658570,not-applicable,0.0,True,False,True,183,183,0,1,200000000,999751680,1003000416,221.70588,"Graph-derived projection order/shapes replayed as one coarse INT8 job per projection. Timing is analytical-model, not RTL/DRAMsim3/ORT."
varp.k26.scheduler-model.v1,analytical-model,S0-physical,gemma3_1b_projection_trace,0,0,4,4,4,128,full,183,c5c5856c2c9c34ec891f4170651df8b5257f1a519a3d83b8e9a531233a2d9592,183,44341365,0.004127071866190858,10517190.289617486,10467980.0,19751146.7,20934568.94,0.0880730667628297,0.0880730667628297,0.6046669853307403,70118422,161744340,9931140.901639344,179,0,0,0,0,0.0,0,0,0,0.35343705589577584,0.3522922670513188,62687343,10692776,183,0,180169,183,0,10692776,22320366,1281,23658570,not-applicable,0.0,True,False,True,183,183,0,1,200000000,999751680,1003000416,221.706825,"Graph-derived projection order/shapes replayed as one coarse INT8 job per projection. Timing is analytical-model, not RTL/DRAMsim3/ORT."
varp.k26.scheduler-model.v1,analytical-model,S1,gemma3_1b_projection_trace,0,0,4,4,4,128,full,183,c5c5856c2c9c34ec891f4170651df8b5257f1a519a3d83b8e9a531233a2d9592,183,44025230,0.004156707415270744,10187754.75956284,9763473.0,19755051.8,24334637.02000013,0.08870549909676792,0.08870549909676792,0.6350462337164394,64268694,160479800,9576649.699453551,52,27,0,0,0,0.0,0,0,0,0.3559750056955977,0.3548219963870717,62687343,6493877,183,0,180169,183,0,6493877,30527535,0,23658570,not-applicable,0.0,True,False,True,183,183,0,1,200000000,999751680,1003000416,220.12615,"Graph-derived projection order/shapes replayed as one coarse INT8 job per projection. Timing is analytical-model, not RTL/DRAMsim3/ORT."
varp.k26.scheduler-model.v1,analytical-model,S2,gemma3_1b_projection_trace,0,0,4,4,4,128,full,183,c5c5856c2c9c34ec891f4170651df8b5257f1a519a3d83b8e9a531233a2d9592,183,44422876,0.004119499151743349,9944853.830601092,9360824.0,19495492.7,20968066.080000002,0.08791146255366267,0.08791146255366267,0.6020270614626572,70716410,162070384,9360290.475409836,52,27,0,46,30,0.6521739130434783,93487104,57600,232448,0.3527885384998486,0.35164585021465067,62687343,13703951,183,0,180169,183,0,13703951,21308323,0,23658570,not-applicable,0.0,True,False,True,183,183,0,1,200000000,999751680,1003000416,222.11438,"Graph-derived projection order/shapes replayed as one coarse INT8 job per projection. Timing is analytical-model, not RTL/DRAMsim3/ORT."
varp.k26.scheduler-model.v1,analytical-model,S3,gemma3_1b_projection_trace,0,0,4,4,4,128,full,183,c5c5856c2c9c34ec891f4170651df8b5257f1a519a3d83b8e9a531233a2d9592,183,44172666,0.004142833488927293,9339166.267759563,9015020.0,19064334.900000002,20401425.78,0.08840942495977036,0.08840942495977036,0.5966413935713095,71269700,161069544,8763095.426229509,52,27,0,66,50,0.7575757575757576,68714496,74880,169472,0.3547868607251371,0.3536376998390815,62687343,15394089,183,0,180169,183,0,15394089,17404353,0,23658570,not-applicable,0.0,True,False,True,183,183,0,1,200000000,999751680,1003000416,220.86333,"Graph-derived projection order/shapes replayed as one coarse INT8 job per projection. Timing is analytical-model, not RTL/DRAMsim3/ORT."
varp.k26.scheduler-model.v1,analytical-model,Oracle,gemma3_1b_projection_trace,0,0,4,4,4,128,full,183,c5c5856c2c9c34ec891f4170651df8b5257f1a519a3d83b8e9a531233a2d9592,183,37439571,0.004887876519738968,3912139.8524590163,1299483.0,12756823.299999999,13979036.38,0.10430888751369508,0.10430888751369508,0.5292894915916638,70492798,134137164,3478995.120218579,183,0,0,0,0,0.0,0,0,0,0.4185913748851449,0.4172355500547803,62687343,784,183,0,180169,183,0,784,1025374,0,23658570,offline-clairvoyant-list-schedule,0.0,True,False,True,183,183,0,1,200000000,999751680,1003000416,187.197855,"Graph-derived projection order/shapes replayed as one coarse INT8 job per projection. Timing is analytical-model, not RTL/DRAMsim3/ORT."
varp.k26.scheduler-model.v1,analytical-model,S0,gemma3_1b_projection_trace,0,0,4,4,4,128,full,5856,bbe82e558474d97391d4ff50ddb71bc4f3b4c2bf205ff6fa8ad32317bb041f14,5856,1273520936,0.00459827540675782,624964746.5520834,625016897.5,1197759772.75,1243231728.5500002,0.09812870481149279,0.09812870481149279,0.9862353220866091,70118422,4594207904,624106828.9766052,5852,0,0,0,0,0.0,0,0,0,0.39379031300039813,0.39251481924597115,2005994976,1429927676,5856,0,5765408,5856,0,1429927676,1192411178,0,501500208,not-applicable,0.0,True,False,True,5856,5856,0,32,200000000,31992053760,32096013312,6367.60468,"Graph-derived projection order/shapes replayed as one coarse INT8 job per projection. Timing is analytical-model, not RTL/DRAMsim3/ORT."
varp.k26.scheduler-model.v1,analytical-model,S0-physical,gemma3_1b_projection_trace,0,0,4,4,4,128,full,5856,bbe82e558474d97391d4ff50ddb71bc4f3b4c2bf205ff6fa8ad32317bb041f14,5856,1273525682,0.0045982582705387486,624967141.4880464,625019295.0,1197764259.75,1243236424.85,0.09812833911895937,0.09812833911895937,0.9862353733829139,70118422,4594226888,624109220.670765,5852,0,0,0,0,0.0,0,0,0,0.39378884547693005,0.3925133564758374,2005994976,1429962025,5856,0,5765408,5856,0,1429962025,1192438275,40992,501500208,not-applicable,0.0,True,False,True,5856,5856,0,32,200000000,31992053760,32096013312,6367.62841,"Graph-derived projection order/shapes replayed as one coarse INT8 job per projection. Timing is analytical-model, not RTL/DRAMsim3/ORT."
varp.k26.scheduler-model.v1,analytical-model,S1,gemma3_1b_projection_trace,0,0,4,4,4,128,full,5856,bbe82e558474d97391d4ff50ddb71bc4f3b4c2bf205ff6fa8ad32317bb041f14,5856,1468125350,0.003988760224050351,568988722.3568989,524859802.5,1223259979.5,1400401006.1,0.08512145097147189,0.08512145097147189,0.7128080892411537,1686534898,5372625560,568273905.6728142,1695,864,0,0,0,0.0,0,0,0,0.3415922271214784,0.34048580388588756,2005994976,627151679,5856,0,5765408,5856,0,627151679,1136875135,0,501500208,not-applicable,0.0,True,False,True,5856,5856,0,32,200000000,31992053760,32096013312,7340.62675,"Graph-derived projection order/shapes replayed as one coarse INT8 job per projection. Timing is analytical-model, not RTL/DRAMsim3/ORT."
varp.k26.scheduler-model.v1,analytical-model,S2,gemma3_1b_projection_trace,0,0,4,4,4,128,full,5856,bbe82e558474d97391d4ff50ddb71bc4f3b4c2bf205ff6fa8ad32317bb041f14,5856,1301779348,0.004498458213365358,577535373.789276,549754250.5,1219938210.25,1270346138.6499999,0.09599857317754898,0.09599857317754898,0.9864767907656191,70416938,4707241552,576658204.9959016,1695,864,0,855,839,0.9812865497076023,4855431168,1185408,15983616,0.3852420986478885,0.3839942927101959,2005994976,1241786623,5856,0,5765408,5856,0,1241786623,1556232053,0,501500208,not-applicable,0.0,True,False,True,5856,5856,0,32,200000000,31992053760,32096013312,6508.89674,"Graph-derived projection order/shapes replayed as one coarse INT8 job per projection. Timing is analytical-model, not RTL/DRAMsim3/ORT."
varp.k26.scheduler-model.v1,analytical-model,S3,gemma3_1b_projection_trace,0,0,4,4,4,128,full,5856,bbe82e558474d97391d4ff50ddb71bc4f3b4c2bf205ff6fa8ad32317bb041f14,5856,1266928554,0.00462220223982733,503012779.5362022,480678685.0,1038875849.75,1195796509.0500002,0.09863931127405942,0.09863931127405942,0.986459451524841,68619630,4567838376,502159109.0126366,1695,864,0,1746,1730,0.9908361970217641,2829975552,1992960,9826304,0.39583937580113926,0.3945572450962377,2005994976,1382283093,5856,0,5765408,5856,0,1382283093,1377764879,0,501500208,not-applicable,0.0,True,False,True,5856,5856,0,32,200000000,31992053760,32096013312,6334.64277,"Graph-derived projection order/shapes replayed as one coarse INT8 job per projection. Timing is analytical-model, not RTL/DRAMsim3/ORT."
varp.k26.scheduler-model.v1,analytical-model,Oracle,gemma3_1b_projection_trace,0,0,4,4,4,128,full,5856,bbe82e558474d97391d4ff50ddb71bc4f3b4c2bf205ff6fa8ad32317bb041f14,5856,1053737849,0.0055573594566783,118374886.35382514,39346465.0,399092134.25,437189431.65,0.11859587289058267,0.11859587289058267,0.9730388663300259,113639868,3715075556,117674525.77868852,5856,0,0,0,0,0.0,0,0,0,0.47592502108178525,0.4743834915623307,2005994976,1581971817,5856,0,5765408,5856,0,1581971817,1553979563,0,501500208,offline-clairvoyant-list-schedule,0.0,True,False,True,5856,5856,0,32,200000000,31992053760,32096013312,5268.689245,"Graph-derived projection order/shapes replayed as one coarse INT8 job per projection. Timing is analytical-model, not RTL/DRAMsim3/ORT."
