schema_version,evidence_type,scheduler,workload,seed,job_id,home_cluster,dispatch_cluster,stolen,arrival_cycle,dispatch_cycle,release_cycle,dependency_wait_cycles,queue_wait_cycles,link_start_cycle,home_link_end_cycle,remote_copy_start_cycle,link_end_cycle,home_link_bundle,execution_link_bundle,base_link_bytes,remote_copy_bytes,memory_start_cycle,memory_end_cycle,compute_start_cycle,compute_end_cycle,preferred_channel,preferred_link_bundle
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,0,2,2,0,0,0,0,0,0,0,34,34,34,2,2,544,0,0,32,34,42,0,2
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,1,0,0,0,1,1,1,0,0,1,131,131,131,0,0,2080,0,1,129,131,163,1,0
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,9,1,1,0,9,9,9,0,0,9,1035,1035,1035,1,1,16416,0,129,1153,1153,1409,1,1
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,23,3,3,0,23,23,23,0,0,23,153,153,153,3,3,2080,0,23,151,153,185,3,3
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,13,2,2,0,13,42,13,0,29,42,172,172,172,2,2,2080,0,1153,1281,1281,1313,1,2
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,2,0,0,0,2,163,2,0,161,163,197,197,197,0,0,544,0,163,195,197,205,2,0
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,27,3,3,0,27,185,27,0,158,185,315,315,315,3,3,2080,0,185,313,315,347,3,3
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,3,0,0,0,3,205,3,0,202,205,335,335,335,0,0,2080,0,313,441,441,473,3,0
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,34,3,3,0,34,347,34,0,313,347,605,605,605,3,3,4128,0,347,603,605,669,2,3
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,4,0,0,0,4,473,4,0,469,473,987,987,987,0,0,8224,0,473,985,987,1115,0,0
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,36,3,3,0,36,669,36,0,633,669,927,927,927,3,3,4128,0,985,1241,1241,1305,0,3
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,5,0,0,0,5,1115,5,0,1110,1115,1245,1245,1245,0,0,2080,0,1281,1409,1409,1441,1,0
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,39,3,3,0,39,1305,39,0,1266,1305,1819,1819,1819,3,3,8224,0,1305,1817,1819,1947,3,3
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,14,2,2,0,14,1313,14,0,1299,1313,2339,2339,2339,2,2,16416,0,1313,2337,2339,2595,2,2
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,52,1,1,0,52,1409,52,0,1357,1409,1667,1667,1667,1,1,4128,0,1409,1665,1667,1731,0,1
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,6,0,0,0,6,1441,6,0,1435,1441,1699,1699,1699,0,0,4128,0,2337,2593,2593,2657,2,0
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,82,1,1,0,82,1731,82,0,1649,1731,1861,1861,1861,1,1,2080,0,2593,2721,2721,2753,2,1
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,66,3,3,0,66,1947,66,0,1881,1947,2077,2077,2077,3,3,2080,0,2721,2849,2849,2881,2,3
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,42,2,2,0,42,2595,42,0,2553,2595,3109,3109,3109,2,2,8224,0,2849,3361,3361,3489,2,2
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,7,0,0,0,7,2657,7,0,2650,2657,3171,3171,3171,0,0,8224,0,2657,3169,3171,3299,3,0
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,84,1,1,0,84,2753,84,0,2669,2753,2883,2883,2883,1,1,2080,0,2753,2881,2883,2915,0,1
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,68,3,3,0,68,2881,68,0,2813,2881,3395,3395,3395,3,3,8224,0,2881,3393,3395,3523,0,3
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,91,1,1,0,91,2915,91,0,2824,2915,3173,3173,3173,1,1,4128,0,3169,3425,3425,3489,3,1
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,8,0,0,0,8,3299,8,0,3291,3299,3813,3813,3813,0,0,8224,0,3393,3905,3905,4033,0,0
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,105,1,1,0,105,3489,105,0,3384,3489,4003,4003,4003,1,1,8224,0,3489,4001,4003,4131,1,1
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,56,2,2,0,56,3489,56,0,3433,3489,3747,3747,3747,2,2,4128,0,3905,4161,4161,4225,0,2
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,69,3,3,0,69,3523,69,0,3454,3523,4037,4037,4037,3,3,8224,0,4001,4513,4513,4641,1,3
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,10,0,0,0,10,4033,10,0,4023,4033,4099,4099,4099,0,0,1056,0,4033,4097,4099,4115,2,0
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,11,0,0,0,11,4115,11,0,4104,4115,4373,4373,4373,0,0,4128,0,4115,4371,4373,4437,3,0
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,112,1,1,0,112,4131,112,0,4019,4131,4261,4261,4261,1,1,2080,0,4161,4289,4289,4321,0,1
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,59,2,2,0,59,4225,59,0,4166,4225,4291,4291,4291,2,2,1056,0,4371,4435,4435,4451,3,2
