model_case,scope,nominal_parameters,quantization,context_tokens,weight_gib,kv_bytes_per_token,kv_cache_gib,runtime_headroom_gib,total_budget_gib,fits_8gib_physical_capacity,fits_16gib_physical_capacity,evidence_type,source_or_assumption
Gemma_3_1B,actual_target_nominal_parameter_class,1000000000,INT8,4096,0.9313,26624,0.1016,0.6863,1.7191,true,true,capacity-model,Google Gemma 3 model card; 32K context; config-derived KV upper bound
Gemma_3_1B,actual_target_nominal_parameter_class,1000000000,INT8,32768,0.9313,26624,0.8125,0.6863,2.4301,true,true,capacity-model,Google Gemma 3 model card; 32K context; config-derived KV upper bound
Gemma_3_1B,actual_target_nominal_parameter_class,1000000000,INT4,4096,0.4657,26624,0.1016,0.5931,1.1604,true,true,capacity-model,Google Gemma 3 model card; 32K context; config-derived KV upper bound
Gemma_3_1B,actual_target_nominal_parameter_class,1000000000,INT4,32768,0.4657,26624,0.8125,0.5931,1.8713,true,true,capacity-model,Google Gemma 3 model card; 32K context; config-derived KV upper bound
generic_2B_capacity_case,capacity_sensitivity_only,2000000000,INT8,4096,1.8626,32768,0.1250,0.8725,2.8602,true,true,capacity-model,engineering assumption; no selected 2B model or execution
generic_2B_capacity_case,capacity_sensitivity_only,2000000000,INT8,32768,1.8626,32768,1.0000,0.8725,3.7352,true,true,capacity-model,engineering assumption; no selected 2B model or execution
generic_2B_capacity_case,capacity_sensitivity_only,2000000000,INT8,131072,1.8626,32768,4.0000,0.8725,6.7352,true,true,capacity-model,engineering assumption; no selected 2B model or execution
generic_2B_capacity_case,capacity_sensitivity_only,2000000000,INT4,4096,0.9313,32768,0.1250,0.6863,1.7426,true,true,capacity-model,engineering assumption; no selected 2B model or execution
generic_2B_capacity_case,capacity_sensitivity_only,2000000000,INT4,32768,0.9313,32768,1.0000,0.6863,2.6176,true,true,capacity-model,engineering assumption; no selected 2B model or execution
generic_2B_capacity_case,capacity_sensitivity_only,2000000000,INT4,131072,0.9313,32768,4.0000,0.6863,5.6176,true,true,capacity-model,engineering assumption; no selected 2B model or execution
generic_3B_capacity_case,capacity_sensitivity_only,3000000000,INT8,4096,2.7940,49152,0.1875,1.0588,4.0403,true,true,capacity-model,engineering assumption; no selected 3B model or execution
generic_3B_capacity_case,capacity_sensitivity_only,3000000000,INT8,32768,2.7940,49152,1.5000,1.0588,5.3528,true,true,capacity-model,engineering assumption; no selected 3B model or execution
generic_3B_capacity_case,capacity_sensitivity_only,3000000000,INT8,131072,2.7940,49152,6.0000,1.0588,9.8528,false,true,capacity-model,engineering assumption; no selected 3B model or execution
generic_3B_capacity_case,capacity_sensitivity_only,3000000000,INT4,4096,1.3970,49152,0.1875,0.7794,2.3639,true,true,capacity-model,engineering assumption; no selected 3B model or execution
generic_3B_capacity_case,capacity_sensitivity_only,3000000000,INT4,32768,1.3970,49152,1.5000,0.7794,3.6764,true,true,capacity-model,engineering assumption; no selected 3B model or execution
generic_3B_capacity_case,capacity_sensitivity_only,3000000000,INT4,131072,1.3970,49152,6.0000,0.7794,8.1764,false,true,capacity-model,engineering assumption; no selected 3B model or execution
