workload,comparison,metric,paired_seed_count,median_effect_pct,min_effect_pct,max_effect_pct,evidence_type,claim_boundary
balanced,S3_vs_S1,total_completion_cycles,5,0.000000,0.000000,0.000000,paired-seed-analytical-model-v2,Synthetic workload; incremental stolen payload is charged to logical link service. Not hardware timing.
balanced,S3_vs_S1,p95_tile_latency_cycles,5,0.000000,0.000000,0.000000,paired-seed-analytical-model-v2,Synthetic workload; incremental stolen payload is charged to logical link service. Not hardware timing.
balanced,S3_vs_S1,p99_tile_latency_cycles,5,0.000000,0.000000,0.000000,paired-seed-analytical-model-v2,Synthetic workload; incremental stolen payload is charged to logical link service. Not hardware timing.
balanced,S3_vs_S2,total_completion_cycles,5,0.000000,0.000000,0.000000,paired-seed-analytical-model-v2,Synthetic workload; incremental stolen payload is charged to logical link service. Not hardware timing.
balanced,S3_vs_S2,p95_tile_latency_cycles,5,0.000000,0.000000,0.000000,paired-seed-analytical-model-v2,Synthetic workload; incremental stolen payload is charged to logical link service. Not hardware timing.
balanced,S3_vs_S2,p99_tile_latency_cycles,5,0.000000,0.000000,0.000000,paired-seed-analytical-model-v2,Synthetic workload; incremental stolen payload is charged to logical link service. Not hardware timing.
bursty,S3_vs_S1,total_completion_cycles,5,-1.787704,-4.452717,-1.124717,paired-seed-analytical-model-v2,Synthetic workload; incremental stolen payload is charged to logical link service. Not hardware timing.
bursty,S3_vs_S1,p95_tile_latency_cycles,5,-0.081934,-1.674102,0.000000,paired-seed-analytical-model-v2,Synthetic workload; incremental stolen payload is charged to logical link service. Not hardware timing.
bursty,S3_vs_S1,p99_tile_latency_cycles,5,-1.157337,-4.033910,-0.867481,paired-seed-analytical-model-v2,Synthetic workload; incremental stolen payload is charged to logical link service. Not hardware timing.
bursty,S3_vs_S2,total_completion_cycles,5,-0.218394,-0.261027,0.089911,paired-seed-analytical-model-v2,Synthetic workload; incremental stolen payload is charged to logical link service. Not hardware timing.
bursty,S3_vs_S2,p95_tile_latency_cycles,5,0.000000,-0.118321,0.020609,paired-seed-analytical-model-v2,Synthetic workload; incremental stolen payload is charged to logical link service. Not hardware timing.
bursty,S3_vs_S2,p99_tile_latency_cycles,5,-0.427815,-0.699074,0.043580,paired-seed-analytical-model-v2,Synthetic workload; incremental stolen payload is charged to logical link service. Not hardware timing.
bursty,S3_vs_S2,remote_weight_bytes,5,-15.254237,-19.354839,0.000000,paired-seed-analytical-model-v2,Synthetic workload; incremental stolen payload is charged to logical link service. Not hardware timing.
bursty,S3_vs_S2,incremental_remote_link_bytes,5,-14.024933,-18.148655,0.566572,paired-seed-analytical-model-v2,Synthetic workload; incremental stolen payload is charged to logical link service. Not hardware timing.
hotspot,S3_vs_S1,total_completion_cycles,5,-0.056409,-0.347324,0.000000,paired-seed-analytical-model-v2,Synthetic workload; incremental stolen payload is charged to logical link service. Not hardware timing.
hotspot,S3_vs_S1,p95_tile_latency_cycles,5,0.000000,0.000000,0.000000,paired-seed-analytical-model-v2,Synthetic workload; incremental stolen payload is charged to logical link service. Not hardware timing.
hotspot,S3_vs_S1,p99_tile_latency_cycles,5,0.000000,-0.130199,0.000000,paired-seed-analytical-model-v2,Synthetic workload; incremental stolen payload is charged to logical link service. Not hardware timing.
hotspot,S3_vs_S2,total_completion_cycles,5,0.000000,0.000000,0.018737,paired-seed-analytical-model-v2,Synthetic workload; incremental stolen payload is charged to logical link service. Not hardware timing.
hotspot,S3_vs_S2,p95_tile_latency_cycles,5,0.000000,0.000000,0.000000,paired-seed-analytical-model-v2,Synthetic workload; incremental stolen payload is charged to logical link service. Not hardware timing.
hotspot,S3_vs_S2,p99_tile_latency_cycles,5,0.000000,-0.149083,0.000000,paired-seed-analytical-model-v2,Synthetic workload; incremental stolen payload is charged to logical link service. Not hardware timing.
hotspot,S3_vs_S2,remote_weight_bytes,5,0.000000,-25.000000,28.571429,paired-seed-analytical-model-v2,Synthetic workload; incremental stolen payload is charged to logical link service. Not hardware timing.
hotspot,S3_vs_S2,incremental_remote_link_bytes,5,0.361011,-24.268348,29.012346,paired-seed-analytical-model-v2,Synthetic workload; incremental stolen payload is charged to logical link service. Not hardware timing.
mixed,S3_vs_S1,total_completion_cycles,5,-15.907392,-16.324041,-15.517879,paired-seed-analytical-model-v2,Synthetic workload; incremental stolen payload is charged to logical link service. Not hardware timing.
mixed,S3_vs_S1,p95_tile_latency_cycles,5,-17.704054,-18.557593,-17.298572,paired-seed-analytical-model-v2,Synthetic workload; incremental stolen payload is charged to logical link service. Not hardware timing.
mixed,S3_vs_S1,p99_tile_latency_cycles,5,-16.922100,-17.235746,-16.634984,paired-seed-analytical-model-v2,Synthetic workload; incremental stolen payload is charged to logical link service. Not hardware timing.
mixed,S3_vs_S2,total_completion_cycles,5,-0.928406,-1.515645,0.491533,paired-seed-analytical-model-v2,Synthetic workload; incremental stolen payload is charged to logical link service. Not hardware timing.
mixed,S3_vs_S2,p95_tile_latency_cycles,5,-3.446112,-4.354504,-2.203859,paired-seed-analytical-model-v2,Synthetic workload; incremental stolen payload is charged to logical link service. Not hardware timing.
mixed,S3_vs_S2,p99_tile_latency_cycles,5,-1.893878,-3.269406,-0.738046,paired-seed-analytical-model-v2,Synthetic workload; incremental stolen payload is charged to logical link service. Not hardware timing.
