schema_version,evidence_type,scheduler,workload,seed,process_repetition,clusters,channels,bundles,link_width_bits,service_overlap_mode,external_link_enabled,jobs,ledger_sha256,completed_jobs,total_completion_cycles,throughput_jobs_per_kcycle,mean_tile_latency_cycles,p50_tile_latency_cycles,p95_tile_latency_cycles,p99_tile_latency_cycles,cluster_utilization_mean,cluster_compute_utilization_mean,cluster_reservation_occupancy_mean,cluster_idle_cycles,cluster_compute_idle_cycles,queue_wait_mean_cycles,dependency_wait_mean_cycles,dependency_edge_count,max_queue_depth,queue_imbalance,ingress_backlog_final,steal_attempts,successful_steals,steal_success_rate,remote_weight_bytes,activation_retransmission_bytes,partial_sum_traffic_bytes,charged_link_bytes,base_link_bytes,incremental_remote_link_bytes,base_link_service_cycles,incremental_remote_link_service_cycles,base_memory_service_cycles,incremental_remote_memory_service_cycles,remote_copy_cycles,remote_transfer_semantics,link_bundle_utilization_mean,ddr_channel_utilization_mean,request_serializer_wait,request_credit_wait,request_cdc_wait,outstanding_table_full_wait,response_serializer_wait,response_cdc_wait,consumer_fifo_full_wait,bundle_contention_wait,memory_command_wait,central_queue_control_cycles,oracle_resource_lower_bound_cycles,oracle_schedule_kind,starvation_ratio,completion_reordered,timed_out,correctness,input_job_id_count,completed_job_id_count,duplicate_completion_count,subset
varp.k26.scheduler-model.v2,analytical-model,S0,balanced,19,0,4,4,4,128,full,True,1000,46415dabd854e15ad41c6e0b311d8e67a7bcfdab3c5b0eab31308760ed047511,1000,20506,48.76621476640983,9295,9295.0,17620.0,18360.0,0.19506485906563933,0.19506485906563933,0.9997074027114016,24,66024,9213,0,0,900,0,0,0,0,0.0,0,0,0,1056000,1056000,0,66000,0,64000,0,0,prefetch-home-then-copy-to-thief,0.8046425436457623,0.7802594362625573,65000,0,1000,0,3000,1000,0,0,0,0,16500,not-applicable,0.0,False,False,True,1000,1000,0,scheduler
varp.k26.scheduler-model.v2,analytical-model,S0,balanced,19,1,4,4,4,128,full,True,1000,46415dabd854e15ad41c6e0b311d8e67a7bcfdab3c5b0eab31308760ed047511,1000,20506,48.76621476640983,9295,9295.0,17620.0,18360.0,0.19506485906563933,0.19506485906563933,0.9997074027114016,24,66024,9213,0,0,900,0,0,0,0,0.0,0,0,0,1056000,1056000,0,66000,0,64000,0,0,prefetch-home-then-copy-to-thief,0.8046425436457623,0.7802594362625573,65000,0,1000,0,3000,1000,0,0,0,0,16500,not-applicable,0.0,False,False,True,1000,1000,0,scheduler
varp.k26.scheduler-model.v2,analytical-model,S0,balanced,19,2,4,4,4,128,full,True,1000,46415dabd854e15ad41c6e0b311d8e67a7bcfdab3c5b0eab31308760ed047511,1000,20506,48.76621476640983,9295,9295.0,17620.0,18360.0,0.19506485906563933,0.19506485906563933,0.9997074027114016,24,66024,9213,0,0,900,0,0,0,0,0.0,0,0,0,1056000,1056000,0,66000,0,64000,0,0,prefetch-home-then-copy-to-thief,0.8046425436457623,0.7802594362625573,65000,0,1000,0,3000,1000,0,0,0,0,16500,not-applicable,0.0,False,False,True,1000,1000,0,scheduler
varp.k26.scheduler-model.v2,analytical-model,S0,balanced,23,0,4,4,4,128,full,True,1000,2077ec9879323f9e1c372462afe4c2528c0afe165c5ca5f226bc3124913d2b8e,1000,20506,48.76621476640983,9295,9295.0,17620.0,18360.0,0.19506485906563933,0.19506485906563933,0.9997074027114016,24,66024,9213,0,0,900,0,0,0,0,0.0,0,0,0,1056000,1056000,0,66000,0,64000,0,0,prefetch-home-then-copy-to-thief,0.8046425436457623,0.7802594362625573,65000,0,1000,0,3000,1000,0,0,0,0,16500,not-applicable,0.0,False,False,True,1000,1000,0,scheduler
varp.k26.scheduler-model.v2,analytical-model,S0,balanced,23,1,4,4,4,128,full,True,1000,2077ec9879323f9e1c372462afe4c2528c0afe165c5ca5f226bc3124913d2b8e,1000,20506,48.76621476640983,9295,9295.0,17620.0,18360.0,0.19506485906563933,0.19506485906563933,0.9997074027114016,24,66024,9213,0,0,900,0,0,0,0,0.0,0,0,0,1056000,1056000,0,66000,0,64000,0,0,prefetch-home-then-copy-to-thief,0.8046425436457623,0.7802594362625573,65000,0,1000,0,3000,1000,0,0,0,0,16500,not-applicable,0.0,False,False,True,1000,1000,0,scheduler
varp.k26.scheduler-model.v2,analytical-model,S0,balanced,23,2,4,4,4,128,full,True,1000,2077ec9879323f9e1c372462afe4c2528c0afe165c5ca5f226bc3124913d2b8e,1000,20506,48.76621476640983,9295,9295.0,17620.0,18360.0,0.19506485906563933,0.19506485906563933,0.9997074027114016,24,66024,9213,0,0,900,0,0,0,0,0.0,0,0,0,1056000,1056000,0,66000,0,64000,0,0,prefetch-home-then-copy-to-thief,0.8046425436457623,0.7802594362625573,65000,0,1000,0,3000,1000,0,0,0,0,16500,not-applicable,0.0,False,False,True,1000,1000,0,scheduler
varp.k26.scheduler-model.v2,analytical-model,S0,balanced,29,0,4,4,4,128,full,True,1000,5b56077031d06a66fab380f773eb8286b2be412e3b959a5bf0343b11b61de4f1,1000,20506,48.76621476640983,9295,9295.0,17620.0,18360.0,0.19506485906563933,0.19506485906563933,0.9997074027114016,24,66024,9213,0,0,900,0,0,0,0,0.0,0,0,0,1056000,1056000,0,66000,0,64000,0,0,prefetch-home-then-copy-to-thief,0.8046425436457623,0.7802594362625573,65000,0,1000,0,3000,1000,0,0,0,0,16500,not-applicable,0.0,False,False,True,1000,1000,0,scheduler
varp.k26.scheduler-model.v2,analytical-model,S0,balanced,29,1,4,4,4,128,full,True,1000,5b56077031d06a66fab380f773eb8286b2be412e3b959a5bf0343b11b61de4f1,1000,20506,48.76621476640983,9295,9295.0,17620.0,18360.0,0.19506485906563933,0.19506485906563933,0.9997074027114016,24,66024,9213,0,0,900,0,0,0,0,0.0,0,0,0,1056000,1056000,0,66000,0,64000,0,0,prefetch-home-then-copy-to-thief,0.8046425436457623,0.7802594362625573,65000,0,1000,0,3000,1000,0,0,0,0,16500,not-applicable,0.0,False,False,True,1000,1000,0,scheduler
varp.k26.scheduler-model.v2,analytical-model,S0,balanced,29,2,4,4,4,128,full,True,1000,5b56077031d06a66fab380f773eb8286b2be412e3b959a5bf0343b11b61de4f1,1000,20506,48.76621476640983,9295,9295.0,17620.0,18360.0,0.19506485906563933,0.19506485906563933,0.9997074027114016,24,66024,9213,0,0,900,0,0,0,0,0.0,0,0,0,1056000,1056000,0,66000,0,64000,0,0,prefetch-home-then-copy-to-thief,0.8046425436457623,0.7802594362625573,65000,0,1000,0,3000,1000,0,0,0,0,16500,not-applicable,0.0,False,False,True,1000,1000,0,scheduler
varp.k26.scheduler-model.v2,analytical-model,S0,balanced,31,0,4,4,4,128,full,True,1000,ed5ff08355509f998bdfafd1be48372e4c8b74efe488cbc396ca51c9b5ff5b33,1000,20506,48.76621476640983,9295,9295.0,17620.0,18360.0,0.19506485906563933,0.19506485906563933,0.9997074027114016,24,66024,9213,0,0,900,0,0,0,0,0.0,0,0,0,1056000,1056000,0,66000,0,64000,0,0,prefetch-home-then-copy-to-thief,0.8046425436457623,0.7802594362625573,65000,0,1000,0,3000,1000,0,0,0,0,16500,not-applicable,0.0,False,False,True,1000,1000,0,scheduler
