schema_version,evidence_type,scheduler,workload,seed,job_id,home_cluster,dispatch_cluster,stolen,arrival_cycle,dispatch_cycle,release_cycle,dependency_wait_cycles,queue_wait_cycles,link_start_cycle,home_link_end_cycle,remote_copy_start_cycle,link_end_cycle,home_link_bundle,execution_link_bundle,base_link_bytes,remote_copy_bytes,memory_start_cycle,memory_end_cycle,compute_start_cycle,compute_end_cycle,preferred_channel,preferred_link_bundle
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,0,0,0,0,0,0,0,0,0,0,73730,73730,73730,0,0,1179680,0,0,73728,73730,92162,0,0
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,1,1,1,0,0,0,0,0,0,0,18434,18434,18434,2,2,294944,0,0,18432,18434,23042,1,2
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,2,2,2,0,0,0,0,0,0,73730,92164,92164,92164,0,0,294944,0,0,18432,92164,96772,3,0
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,3,3,3,0,0,96773,96772,96772,1,96773,162311,162311,162311,2,2,1048608,0,96773,162309,162311,178695,1,2
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,4,3,3,0,0,178695,96772,96772,81923,178695,186889,186889,186889,2,2,131104,0,178695,186887,186889,188937,1,2
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,5,0,0,0,0,188938,188937,188937,1,188938,262668,262668,262668,0,0,1179680,0,188938,262666,262668,281100,3,0
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,12,1,1,0,0,188938,188937,188937,1,188938,262668,262668,262668,2,2,1179680,0,188938,262666,262668,281100,2,2
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,6,0,0,0,0,281100,188937,188937,92163,281100,354830,354830,354830,0,0,1179680,0,281100,354828,354830,373262,3,0
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,13,1,1,0,0,281100,188937,188937,92163,281100,354830,354830,354830,2,2,1179680,0,281100,354828,354830,373262,2,2
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,7,0,0,0,0,373262,188937,188937,184325,373262,446992,446992,446992,0,0,1179680,0,373262,446990,446992,465424,3,0
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,14,1,1,0,0,373262,188937,188937,184325,373262,446992,446992,446992,2,2,1179680,0,373262,446990,446992,465424,2,2
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,8,0,0,0,0,465424,188937,188937,276487,465424,539154,539154,539154,0,0,1179680,0,465424,539152,539154,557586,3,0
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,15,1,1,0,0,465424,188937,188937,276487,465424,539154,539154,539154,2,2,1179680,0,465424,539152,539154,557586,2,2
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,9,0,0,0,0,557586,188937,188937,368649,557586,631316,631316,631316,0,0,1179680,0,557586,631314,631316,649748,3,0
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,16,1,1,0,0,557586,188937,188937,368649,557586,631316,631316,631316,2,2,1179680,0,557586,631314,631316,649748,2,2
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,10,0,0,0,0,649748,188937,188937,460811,649748,723478,723478,723478,0,0,1179680,0,649748,723476,723478,741910,3,0
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,17,1,1,0,0,649748,188937,188937,460811,649748,723478,723478,723478,2,2,1179680,0,649748,723476,723478,741910,2,2
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,11,0,0,0,0,741910,188937,188937,552973,741910,797208,797208,797208,0,0,884768,0,741910,797206,797208,811032,3,0
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,18,1,1,0,0,741910,188937,188937,552973,741910,797208,797208,797208,2,2,884768,0,741910,797206,797208,811032,2,2
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,19,2,2,0,0,811033,811032,811032,1,811033,1253403,1253403,1253403,0,0,7077920,0,811033,1253401,1253403,1363995,2,0
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,20,2,2,0,0,1363995,811032,811032,552963,1363995,1419293,1419293,1419293,0,0,884768,0,1363995,1419291,1419293,1433117,2,0
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,21,0,0,0,0,1433118,1433117,1433117,1,1433118,1506848,1506848,1506848,3,3,1179680,0,1433118,1506846,1506848,1525280,1,3
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,22,1,1,0,0,1433118,1433117,1433117,1,1433118,1451552,1451552,1451552,1,1,294944,0,1433118,1451550,1451552,1456160,2,1
