schema_version,evidence_type,scheduler,workload,seed,process_repetition,clusters,channels,bundles,link_width_bits,service_overlap_mode,external_link_enabled,jobs,ledger_sha256,completed_jobs,total_completion_cycles,throughput_jobs_per_kcycle,mean_tile_latency_cycles,p50_tile_latency_cycles,p95_tile_latency_cycles,p99_tile_latency_cycles,cluster_utilization_mean,cluster_compute_utilization_mean,cluster_reservation_occupancy_mean,cluster_idle_cycles,cluster_compute_idle_cycles,queue_wait_mean_cycles,dependency_wait_mean_cycles,dependency_edge_count,max_queue_depth,queue_imbalance,ingress_backlog_final,steal_attempts,successful_steals,steal_success_rate,remote_weight_bytes,activation_retransmission_bytes,partial_sum_traffic_bytes,charged_link_bytes,base_link_bytes,incremental_remote_link_bytes,base_link_service_cycles,incremental_remote_link_service_cycles,base_memory_service_cycles,incremental_remote_memory_service_cycles,remote_copy_cycles,remote_transfer_semantics,link_bundle_utilization_mean,ddr_channel_utilization_mean,request_serializer_wait,request_credit_wait,request_cdc_wait,outstanding_table_full_wait,response_serializer_wait,response_cdc_wait,consumer_fifo_full_wait,bundle_contention_wait,memory_command_wait,central_queue_control_cycles,oracle_resource_lower_bound_cycles,oracle_schedule_kind,starvation_ratio,completion_reordered,timed_out,correctness,input_job_id_count,completed_job_id_count,duplicate_completion_count,decode_tokens,placement,n_tile,projection_instances,tile_jobs_per_token,cluster_tile_counts_per_token,cluster_mac_counts_per_token,dependency_semantics,serialized_token_model,placement_evidence_type,timing_evidence_type,claim_boundary
varp.k26.scheduler-model.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,0,4,4,4,128,full,True,802,b9ac1530fb869cddbc6ab40e7f9885f3c4ee030ab75caed9ff2b354ba3fef4d8,802,64725120,0.012390861538765783,4031845.899002494,552973.0,19902384.899999995,22855255.380000003,0.060336388715849426,0.060336388715849426,0.3368567875965313,171688096,243279360,3923102.2780548627,26715828.60224439,2274,256,254,0,0,0,0.0,0,0,0,999777344,999777344,0,62486084,0,62484480,0,0,prefetch-home-then-copy-to-thief,0.24135175029416708,0.2413455548633977,62485282,1916980,802,0,179550,802,0,1916980,8368108,0,15621521,not-applicable,0.0,True,False,True,802,802,0,1,source_rule,1024,183,802,464|208|78|52,539688960|214695936|214695936|30670848,qkv->o->gate/up->down->next-layer; strict serialized token repetition,True,deterministic-modeled-policy,analytical-model-v2,"ONNX-derived projection shapes are split into modeled full-K/N<=1024 tiles. Transformer-stage and token barriers are conservative; this is not functional Gemma inference, MIG/GTH timing, or request-level latency."
varp.k26.scheduler-model.v2,analytical-model,S2,gemma3_1b_dependency_aware_tiles,0,0,4,4,4,128,full,True,802,b9ac1530fb869cddbc6ab40e7f9885f3c4ee030ab75caed9ff2b354ba3fef4d8,802,79579528,0.010077968796195927,4091930.403990025,608927.0,19939504.499999996,22894269.7,0.049073927656369115,0.049073927656369115,0.7379675084275443,83409688,302696992,3799027.132169576,36420841.86658354,2274,256,254,0,1452,463,0.31887052341597794,653524992,826240,1683456,1655819440,999777344,656042096,62486084,41002631,62484480,0,41002631,prefetch-home-then-copy-to-thief,0.32511098520212384,0.19629571062547643,103487913,106508630,802,0,179550,802,0,106508630,50025018,0,15621521,not-applicable,0.0,True,False,True,802,802,0,1,source_rule,1024,183,802,464|208|78|52,539688960|214695936|214695936|30670848,qkv->o->gate/up->down->next-layer; strict serialized token repetition,True,deterministic-modeled-policy,analytical-model-v2,"ONNX-derived projection shapes are split into modeled full-K/N<=1024 tiles. Transformer-stage and token barriers are conservative; this is not functional Gemma inference, MIG/GTH timing, or request-level latency."
varp.k26.scheduler-model.v2,analytical-model,S3,gemma3_1b_dependency_aware_tiles,0,0,4,4,4,128,full,True,802,b9ac1530fb869cddbc6ab40e7f9885f3c4ee030ab75caed9ff2b354ba3fef4d8,802,67834970,0.011822810565111181,4048061.5074812965,552963.0,19957936.499999996,22912701.7,0.05757030628892443,0.05757030628892443,0.6973874279003882,82110859,255718760,3812115.097256858,28718114.034912717,2274,256,254,0,1481,376,0.2538825118163403,393281536,579584,1300480,1394944960,999777344,395167616,62486084,24697976,62484480,0,24697976,prefetch-home-then-copy-to-thief,0.3213094219692291,0.2302812251556977,87183258,71754534,802,0,179550,802,0,71754534,29416828,0,15621521,not-applicable,0.0,True,False,True,802,802,0,1,source_rule,1024,183,802,464|208|78|52,539688960|214695936|214695936|30670848,qkv->o->gate/up->down->next-layer; strict serialized token repetition,True,deterministic-modeled-policy,analytical-model-v2,"ONNX-derived projection shapes are split into modeled full-K/N<=1024 tiles. Transformer-stage and token barriers are conservative; this is not functional Gemma inference, MIG/GTH timing, or request-level latency."
varp.k26.scheduler-model.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,0,4,4,4,128,full,True,802,de70bb6e794808c0bc7a79e3165cb150828b5be39a1f1f9abf554d6b439f34ed,802,60953300,0.01315761410784978,3289450.9064837904,552963.0,15939994.599999996,18302239.720000003,0.06407003394401944,0.06407003394401944,0.7496899757683341,61028888,228192080,3061540.2930174563,27355335.84912718,2274,64,0,0,0,0,0.0,0,0,0,999777344,999777344,0,62486084,0,62484480,0,0,prefetch-home-then-copy-to-thief,0.2562867145831317,0.2562801357760777,62485282,0,802,0,179550,802,0,0,104678320,0,15621521,not-applicable,0.0,True,False,True,802,802,0,1,round_robin,1024,183,802,201|201|200|200,253624320|247267328|246251520|252608512,qkv->o->gate/up->down->next-layer; strict serialized token repetition,True,deterministic-modeled-policy,analytical-model-v2,"ONNX-derived projection shapes are split into modeled full-K/N<=1024 tiles. Transformer-stage and token barriers are conservative; this is not functional Gemma inference, MIG/GTH timing, or request-level latency."
varp.k26.scheduler-model.v2,analytical-model,S2,gemma3_1b_dependency_aware_tiles,0,0,4,4,4,128,full,True,802,de70bb6e794808c0bc7a79e3165cb150828b5be39a1f1f9abf554d6b439f34ed,802,71028887,0.01129118072763832,3302146.1122194515,552962.0,15939994.599999996,18302239.720000003,0.054981573905276034,0.054981573905276034,0.6986431766838751,85620159,268494428,3054645.627182045,33946543.988778055,2274,64,0,0,1120,140,0.125,235307008,335872,406528,1235828992,999777344,236051648,62486084,14753228,62484480,0,14753228,prefetch-home-then-copy-to-thief,0.271858800208991,0.21992629562110413,77238510,3901512,802,0,179550,802,0,3901512,108309426,0,15621521,not-applicable,0.0,True,False,True,802,802,0,1,round_robin,1024,183,802,201|201|200|200,253624320|247267328|246251520|252608512,qkv->o->gate/up->down->next-layer; strict serialized token repetition,True,deterministic-modeled-policy,analytical-model-v2,"ONNX-derived projection shapes are split into modeled full-K/N<=1024 tiles. Transformer-stage and token barriers are conservative; this is not functional Gemma inference, MIG/GTH timing, or request-level latency."
varp.k26.scheduler-model.v2,analytical-model,S3,gemma3_1b_dependency_aware_tiles,0,0,4,4,4,128,full,True,802,de70bb6e794808c0bc7a79e3165cb150828b5be39a1f1f9abf554d6b439f34ed,802,60593886,0.01323565879237387,3287227.054862843,552961.0,15939994.599999996,18302239.720000003,0.06445006679386761,0.06445006679386761,0.7699679015470307,55754155,226754424,3054532.0561097255,27113627.322942644,2274,64,0,0,1007,43,0.04270109235352532,43057152,49536,149504,1043034224,999777344,43256880,62486084,2703555,62484480,0,2703555,prefetch-home-then-copy-to-thief,0.26896129008791414,0.25780026717547044,65188837,588840,802,0,179550,802,0,588840,107810686,0,15621521,not-applicable,0.0,True,False,True,802,802,0,1,round_robin,1024,183,802,201|201|200|200,253624320|247267328|246251520|252608512,qkv->o->gate/up->down->next-layer; strict serialized token repetition,True,deterministic-modeled-policy,analytical-model-v2,"ONNX-derived projection shapes are split into modeled full-K/N<=1024 tiles. Transformer-stage and token barriers are conservative; this is not functional Gemma inference, MIG/GTH timing, or request-level latency."
varp.k26.scheduler-model.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,0,4,4,4,128,full,True,802,c5546dcdc403a54c1a1b9f8344fa134e80569d66da4af03eaabcc5b4ffb1bc15,802,62394046,0.012853790568414172,3300036.275561097,571395.0,15939994.599999996,18302239.720000003,0.062590587569846,0.062590587569846,0.6755362122212751,80978434,233955064,3089814.6421446386,28261016.235660847,2274,66,6,0,0,0,0.0,0,0,0,999777344,999777344,0,62486084,0,62484480,0,0,prefetch-home-then-copy-to-thief,0.2503687771746682,0.250362350279384,62485282,0,802,0,179550,802,0,0,90491792,0,15621521,not-applicable,0.0,True,False,True,802,802,0,1,size_aware,1024,183,802,198|202|200|202,250511360|249364480|250085376|249790464,qkv->o->gate/up->down->next-layer; strict serialized token repetition,True,deterministic-modeled-policy,analytical-model-v2,"ONNX-derived projection shapes are split into modeled full-K/N<=1024 tiles. Transformer-stage and token barriers are conservative; this is not functional Gemma inference, MIG/GTH timing, or request-level latency."
varp.k26.scheduler-model.v2,analytical-model,S2,gemma3_1b_dependency_aware_tiles,0,0,4,4,4,128,full,True,802,c5546dcdc403a54c1a1b9f8344fa134e80569d66da4af03eaabcc5b4ffb1bc15,802,69713684,0.011504197655083039,3308770.5623441394,569090.0,15939994.599999996,18302239.720000003,0.05601884416264674,0.05601884416264674,0.7170766036406855,78894529,263233616,3059443.620947631,33129243.69201995,2274,66,6,0,1195,199,0.16652719665271967,266174464,381312,611328,1266947632,999777344,267170288,62486084,16698143,62484480,0,16698143,prefetch-home-then-copy-to-thief,0.2839622813506743,0.224075376650587,79183425,4156385,802,0,179550,802,0,4156385,111436629,0,15621521,not-applicable,0.0,True,False,True,802,802,0,1,size_aware,1024,183,802,198|202|200|202,250511360|249364480|250085376|249790464,qkv->o->gate/up->down->next-layer; strict serialized token repetition,True,deterministic-modeled-policy,analytical-model-v2,"ONNX-derived projection shapes are split into modeled full-K/N<=1024 tiles. Transformer-stage and token barriers are conservative; this is not functional Gemma inference, MIG/GTH timing, or request-level latency."
varp.k26.scheduler-model.v2,analytical-model,S3,gemma3_1b_dependency_aware_tiles,0,0,4,4,4,128,full,True,802,c5546dcdc403a54c1a1b9f8344fa134e80569d66da4af03eaabcc5b4ffb1bc15,802,61919743,0.012952250140960695,3292456.5149625936,552963.0,15939994.599999996,18302239.720000003,0.06307002921507604,0.06307002921507604,0.7484367990674639,62306915,232057852,3061319.2867830424,27926334.256857857,2274,66,6,0,1163,117,0.10060189165950129,110297088,134784,382976,1110594064,999777344,110816720,62486084,6926045,62484480,0,6926045,prefetch-home-then-copy-to-thief,0.2802503920276284,0.25228011686030416,69411327,1568140,802,0,179550,802,0,1568140,106151907,0,15621521,not-applicable,0.0,True,False,True,802,802,0,1,size_aware,1024,183,802,198|202|200|202,250511360|249364480|250085376|249790464,qkv->o->gate/up->down->next-layer; strict serialized token repetition,True,deterministic-modeled-policy,analytical-model-v2,"ONNX-derived projection shapes are split into modeled full-K/N<=1024 tiles. Transformer-stage and token barriers are conservative; this is not functional Gemma inference, MIG/GTH timing, or request-level latency."
varp.k26.scheduler-model.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,0,4,4,4,128,full,True,802,32f59699b32c6ae8e21596e39df9fb65e9a99c7a891748d045d4958bca6a26c8,802,67324292,0.011912490665330724,4050429.854114713,552973.0,19902384.899999995,22855255.380000003,0.05800699693952964,0.05800699693952964,0.2900409409429809,191189964,253676048,3953039.325436409,28385578.54987531,2274,256,242,0,0,0,0.0,0,0,0,999777344,999777344,0,62486084,0,62484480,0,0,prefetch-home-then-copy-to-thief,0.23203394400345123,0.23202798775811856,62485282,0,802,0,179550,802,0,0,0,0,15621521,not-applicable,0.0,True,False,True,802,802,0,1,channel_affinity,1024,183,802,394|136|136|136,481296384|163971072|177537024|176947200,qkv->o->gate/up->down->next-layer; strict serialized token repetition,True,deterministic-modeled-policy,analytical-model-v2,"ONNX-derived projection shapes are split into modeled full-K/N<=1024 tiles. Transformer-stage and token barriers are conservative; this is not functional Gemma inference, MIG/GTH timing, or request-level latency."
