schema_version,scenario,batch,decode_tokens,scheduler,projection_jobs,projection_cycles,projection_ms,host_non_projection_fallback_ms,hybrid_total_ms,p95_projection_job_cycles,p99_projection_job_cycles,cluster_utilization,remote_weight_bytes,modeled_total_int8_weight_bytes,link_traffic_bytes,steal_overhead_traffic_bytes,exact_once,projection_evidence_type,host_fallback_evidence_type,functional_reference_status,claim_boundary
varp.gemma3.hybrid.v1,batch1_decode1,1,1,S0,183,44341176,221.705880000,204.700666667,426.406546667,19750964.7,20934379.94,0.088073442,0,999751680,1003000416,0,True,hybrid-modeled,host-measured,pre-existing-y700-ort-cpu-completed; not rerun for deterministic token ledger,Hybrid total combines coarse analytical projection replay with measured Y700 non-projection fallback. It is not an end-to-end hardware measurement or predicted product latency.
varp.gemma3.hybrid.v1,batch1_decode1,1,1,S0-physical,183,44341365,221.706825000,204.700666667,426.407491667,19751146.7,20934568.94,0.088073067,0,999751680,1003000416,0,True,hybrid-modeled,host-measured,pre-existing-y700-ort-cpu-completed; not rerun for deterministic token ledger,Hybrid total combines coarse analytical projection replay with measured Y700 non-projection fallback. It is not an end-to-end hardware measurement or predicted product latency.
varp.gemma3.hybrid.v1,batch1_decode1,1,1,S1,183,44025230,220.126150000,204.700666667,424.826816667,19755051.8,24334637.02000013,0.088705499,0,999751680,1003000416,0,True,hybrid-modeled,host-measured,pre-existing-y700-ort-cpu-completed; not rerun for deterministic token ledger,Hybrid total combines coarse analytical projection replay with measured Y700 non-projection fallback. It is not an end-to-end hardware measurement or predicted product latency.
varp.gemma3.hybrid.v1,batch1_decode1,1,1,S2,183,44422876,222.114380000,204.700666667,426.815046667,19495492.7,20968066.080000002,0.087911463,93487104,999751680,1003000416,93777152,True,hybrid-modeled,host-measured,pre-existing-y700-ort-cpu-completed; not rerun for deterministic token ledger,Hybrid total combines coarse analytical projection replay with measured Y700 non-projection fallback. It is not an end-to-end hardware measurement or predicted product latency.
varp.gemma3.hybrid.v1,batch1_decode1,1,1,S3,183,44172666,220.863330000,204.700666667,425.563996667,19064334.900000002,20401425.78,0.088409425,68714496,999751680,1003000416,68958848,True,hybrid-modeled,host-measured,pre-existing-y700-ort-cpu-completed; not rerun for deterministic token ledger,Hybrid total combines coarse analytical projection replay with measured Y700 non-projection fallback. It is not an end-to-end hardware measurement or predicted product latency.
varp.gemma3.hybrid.v1,batch1_decode1,1,1,Oracle,183,37439571,187.197855000,204.700666667,391.898521667,12756823.299999999,13979036.38,0.104308888,0,999751680,1003000416,0,True,hybrid-modeled,host-measured,pre-existing-y700-ort-cpu-completed; not rerun for deterministic token ledger,Hybrid total combines coarse analytical projection replay with measured Y700 non-projection fallback. It is not an end-to-end hardware measurement or predicted product latency.
varp.gemma3.hybrid.v1,batch1_decode32,1,32,S0,5856,1273520936,6367.604680000,6550.421333333,12918.026013333,1197759772.75,1243231728.5500002,0.098128705,0,31992053760,32096013312,0,True,hybrid-modeled,host-measured-linear-extrapolation,pre-existing-y700-ort-cpu-completed; not rerun for deterministic token ledger,Hybrid total combines coarse analytical projection replay with measured Y700 non-projection fallback. It is not an end-to-end hardware measurement or predicted product latency.
varp.gemma3.hybrid.v1,batch1_decode32,1,32,S0-physical,5856,1273525682,6367.628410000,6550.421333333,12918.049743333,1197764259.75,1243236424.85,0.098128339,0,31992053760,32096013312,0,True,hybrid-modeled,host-measured-linear-extrapolation,pre-existing-y700-ort-cpu-completed; not rerun for deterministic token ledger,Hybrid total combines coarse analytical projection replay with measured Y700 non-projection fallback. It is not an end-to-end hardware measurement or predicted product latency.
varp.gemma3.hybrid.v1,batch1_decode32,1,32,S1,5856,1468125350,7340.626750000,6550.421333333,13891.048083333,1223259979.5,1400401006.1,0.085121451,0,31992053760,32096013312,0,True,hybrid-modeled,host-measured-linear-extrapolation,pre-existing-y700-ort-cpu-completed; not rerun for deterministic token ledger,Hybrid total combines coarse analytical projection replay with measured Y700 non-projection fallback. It is not an end-to-end hardware measurement or predicted product latency.
varp.gemma3.hybrid.v1,batch1_decode32,1,32,S2,5856,1301779348,6508.896740000,6550.421333333,13059.318073333,1219938210.25,1270346138.6499999,0.095998573,4855431168,31992053760,32096013312,4872600192,True,hybrid-modeled,host-measured-linear-extrapolation,pre-existing-y700-ort-cpu-completed; not rerun for deterministic token ledger,Hybrid total combines coarse analytical projection replay with measured Y700 non-projection fallback. It is not an end-to-end hardware measurement or predicted product latency.
varp.gemma3.hybrid.v1,batch1_decode32,1,32,S3,5856,1266928554,6334.642770000,6550.421333333,12885.064103333,1038875849.75,1195796509.0500002,0.098639311,2829975552,31992053760,32096013312,2841794816,True,hybrid-modeled,host-measured-linear-extrapolation,pre-existing-y700-ort-cpu-completed; not rerun for deterministic token ledger,Hybrid total combines coarse analytical projection replay with measured Y700 non-projection fallback. It is not an end-to-end hardware measurement or predicted product latency.
varp.gemma3.hybrid.v1,batch1_decode32,1,32,Oracle,5856,1053737849,5268.689245000,6550.421333333,11819.110578333,399092134.25,437189431.65,0.118595873,0,31992053760,32096013312,0,True,hybrid-modeled,host-measured-linear-extrapolation,pre-existing-y700-ort-cpu-completed; not rerun for deterministic token ledger,Hybrid total combines coarse analytical projection replay with measured Y700 non-projection fallback. It is not an end-to-end hardware measurement or predicted product latency.
