architecture,placement,scheduler,tile_jobs,cluster_tile_counts,channels,channel_bytes_per_cycle_each,modeled_aggregate_memory_gbps,external_link_enabled,link_width_bits_per_bundle,total_completion_cycles,tilejob_p95_cycles,tilejob_p99_cycles,queue_wait_mean_cycles,base_link_service_cycles,incremental_remote_link_service_cycles,remote_weight_bytes,evidence_type,claim_boundary
k26_local_shared_ddr4,source_rule,S1,802,464|208|78|52,1,48,9.6,False,128,29780098,9287578.599999996,10665554.92,1829271.8940149625,0,0,0,analytical-sensitivity,"K26 local bandwidth points are effective-bandwidth sensitivities, not measurements. External points use logical channel/link service and do not include MIG/GTH timing, board power, or price."
external_4ch_ddr3l_candidate,source_rule,S1,802,464|208|78|52,4,8,6.4,True,128,118536296,35823514.59999999,41138566.12,7073568.278054863,62486084,0,0,analytical-sensitivity,"K26 local bandwidth points are effective-bandwidth sensitivities, not measurements. External points use logical channel/link service and do not include MIG/GTH timing, board power, or price."
external_4ch_ddr3l_candidate,source_rule,S3,802,464|208|78|52,4,8,6.4,True,128,112643556,31879988.199999988,36604478.440000005,6108853.026184538,62486084,25882888,412155904,analytical-sensitivity,"K26 local bandwidth points are effective-bandwidth sensitivities, not measurements. External points use logical channel/link service and do not include MIG/GTH timing, board power, or price."
k26_local_shared_ddr4,size_aware,S1,802,198|202|200|202,1,24,4.8,False,128,45003556,10632807.399999999,12207637.48,2072706.5922693268,0,0,0,analytical-sensitivity,"K26 local bandwidth points are effective-bandwidth sensitivities, not measurements. External points use logical channel/link service and do not include MIG/GTH timing, board power, or price."
k26_local_shared_ddr4,size_aware,S1,802,198|202|200|202,1,48,9.6,False,128,24550355,5325620.199999998,6113035.24,1042521.7344139651,0,0,0,analytical-sensitivity,"K26 local bandwidth points are effective-bandwidth sensitivities, not measurements. External points use logical channel/link service and do not include MIG/GTH timing, board power, or price."
k26_local_shared_ddr4,size_aware,S1,802,198|202|200|202,1,72,14.4,False,128,17818121,3556557.799999999,4081501.16,699126.7817955113,0,0,0,analytical-sensitivity,"K26 local bandwidth points are effective-bandwidth sensitivities, not measurements. External points use logical channel/link service and do not include MIG/GTH timing, board power, or price."
external_4ch_ddr3l_candidate,size_aware,S1,802,198|202|200|202,4,4,3.2,True,128,238348904,63704679.39999998,73153659.88000001,12316386.35286783,62486084,0,0,analytical-sensitivity,"K26 local bandwidth points are effective-bandwidth sensitivities, not measurements. External points use logical channel/link service and do not include MIG/GTH timing, board power, or price."
external_4ch_ddr3l_candidate,size_aware,S3,802,198|202|200|202,4,4,3.2,True,128,236206184,63704679.39999998,73153659.88000001,12199790.163341645,62486084,7222273,115015680,analytical-sensitivity,"K26 local bandwidth points are effective-bandwidth sensitivities, not measurements. External points use logical channel/link service and do not include MIG/GTH timing, board power, or price."
external_4ch_ddr3l_candidate,size_aware,S1,802,198|202|200|202,4,8,6.4,True,64,120605352,31861556.199999988,36586046.440000005,6165338.891521197,124972168,0,0,analytical-sensitivity,"K26 local bandwidth points are effective-bandwidth sensitivities, not measurements. External points use logical channel/link service and do not include MIG/GTH timing, board power, or price."
external_4ch_ddr3l_candidate,size_aware,S3,802,198|202|200|202,4,8,6.4,True,64,119707434,31861556.199999988,36586046.440000005,6109250.24563591,124972168,13852090,110297088,analytical-sensitivity,"K26 local bandwidth points are effective-bandwidth sensitivities, not measurements. External points use logical channel/link service and do not include MIG/GTH timing, board power, or price."
external_4ch_ddr3l_candidate,size_aware,S1,802,198|202|200|202,4,8,6.4,True,128,120605288,31861556.199999988,36586046.440000005,6165338.372817955,62486084,0,0,analytical-sensitivity,"K26 local bandwidth points are effective-bandwidth sensitivities, not measurements. External points use logical channel/link service and do not include MIG/GTH timing, board power, or price."
external_4ch_ddr3l_candidate,size_aware,S3,802,198|202|200|202,4,8,6.4,True,128,119532959,31861556.199999988,36586046.440000005,6106619.28553616,62486084,7222273,115015680,analytical-sensitivity,"K26 local bandwidth points are effective-bandwidth sensitivities, not measurements. External points use logical channel/link service and do not include MIG/GTH timing, board power, or price."
external_4ch_ddr3l_candidate,size_aware,S1,802,198|202|200|202,4,8,6.4,True,256,120605288,31861556.199999988,36586046.440000005,6165338.372817955,31243042,0,0,analytical-sensitivity,"K26 local bandwidth points are effective-bandwidth sensitivities, not measurements. External points use logical channel/link service and do not include MIG/GTH timing, board power, or price."
external_4ch_ddr3l_candidate,size_aware,S3,802,198|202|200|202,4,8,6.4,True,256,119531624,31861556.199999988,36586046.440000005,6106612.228179551,31243042,3611197,115015680,analytical-sensitivity,"K26 local bandwidth points are effective-bandwidth sensitivities, not measurements. External points use logical channel/link service and do not include MIG/GTH timing, board power, or price."
external_4ch_ddr3l_candidate,size_aware,S1,802,198|202|200|202,4,16,12.8,True,128,62394046,15939994.599999996,18302239.720000003,3089814.6421446386,62486084,0,0,analytical-sensitivity,"K26 local bandwidth points are effective-bandwidth sensitivities, not measurements. External points use logical channel/link service and do not include MIG/GTH timing, board power, or price."
external_4ch_ddr3l_candidate,size_aware,S3,802,198|202|200|202,4,16,12.8,True,128,61919743,15939994.599999996,18302239.720000003,3061319.2867830424,62486084,6926045,110297088,analytical-sensitivity,"K26 local bandwidth points are effective-bandwidth sensitivities, not measurements. External points use logical channel/link service and do not include MIG/GTH timing, board power, or price."
