scenario,scheduler,energy_case,projection_nodes_per_token,macs_per_token,weight_bytes_per_token,base_link_bytes_per_token,steal_overhead_bytes_per_token,link_bytes_per_token,estimated_compute_j_per_token,estimated_link_j_per_token,estimated_memory_dynamic_j_per_token,estimated_total_dynamic_j_per_token,estimated_j_per_projection,hybrid_latency_s_per_token,estimated_energy_delay_j_s,estimated_tokens_per_s,evidence_type,memory_boundary
batch1_decode1,S0,low,183,999751680,999751680.000,1003000416.000,0.000,1003000416.000,0.000999752,0.192576080,0.081316716,0.274892548,0.001502145070,0.426406547,0.117215982028,2.345179753,graph-derived-counts+hybrid-latency+analytical-energy,"dynamic READ+ACT+PRE estimate only; refresh, idle, controller, PHY, and board power excluded; link term includes base stream plus scheduler steal overhead"
batch1_decode1,S0,central,183,999751680,999751680.000,1003000416.000,0.000,1003000416.000,0.004998758,0.410828970,0.101550948,0.517378677,0.002827205886,0.426406547,0.220613655051,2.345179753,graph-derived-counts+hybrid-latency+analytical-energy,"dynamic READ+ACT+PRE estimate only; refresh, idle, controller, PHY, and board power excluded; link term includes base stream plus scheduler steal overhead"
batch1_decode1,S0,high,183,999751680,999751680.000,1003000416.000,0.000,1003000416.000,0.014996275,0.962880399,0.121911126,1.099787800,0.006009769400,0.426406547,0.468956717985,2.345179753,graph-derived-counts+hybrid-latency+analytical-energy,"dynamic READ+ACT+PRE estimate only; refresh, idle, controller, PHY, and board power excluded; link term includes base stream plus scheduler steal overhead"
batch1_decode1,S0-physical,low,183,999751680,999751680.000,1003000416.000,0.000,1003000416.000,0.000999752,0.192576080,0.081316716,0.274892548,0.001502145070,0.426407492,0.117216241801,2.345174556,graph-derived-counts+hybrid-latency+analytical-energy,"dynamic READ+ACT+PRE estimate only; refresh, idle, controller, PHY, and board power excluded; link term includes base stream plus scheduler steal overhead"
batch1_decode1,S0-physical,central,183,999751680,999751680.000,1003000416.000,0.000,1003000416.000,0.004998758,0.410828970,0.101550948,0.517378677,0.002827205886,0.426407492,0.220614143974,2.345174556,graph-derived-counts+hybrid-latency+analytical-energy,"dynamic READ+ACT+PRE estimate only; refresh, idle, controller, PHY, and board power excluded; link term includes base stream plus scheduler steal overhead"
batch1_decode1,S0-physical,high,183,999751680,999751680.000,1003000416.000,0.000,1003000416.000,0.014996275,0.962880399,0.121911126,1.099787800,0.006009769400,0.426407492,0.468957757284,2.345174556,graph-derived-counts+hybrid-latency+analytical-energy,"dynamic READ+ACT+PRE estimate only; refresh, idle, controller, PHY, and board power excluded; link term includes base stream plus scheduler steal overhead"
batch1_decode1,S1,low,183,999751680,999751680.000,1003000416.000,0.000,1003000416.000,0.000999752,0.192576080,0.081316716,0.274892548,0.001502145070,0.424826817,0.116781726023,2.353900368,graph-derived-counts+hybrid-latency+analytical-energy,"dynamic READ+ACT+PRE estimate only; refresh, idle, controller, PHY, and board power excluded; link term includes base stream plus scheduler steal overhead"
batch1_decode1,S1,central,183,999751680,999751680.000,1003000416.000,0.000,1003000416.000,0.004998758,0.410828970,0.101550948,0.517378677,0.002827205886,0.424826817,0.219796336434,2.353900368,graph-derived-counts+hybrid-latency+analytical-energy,"dynamic READ+ACT+PRE estimate only; refresh, idle, controller, PHY, and board power excluded; link term includes base stream plus scheduler steal overhead"
batch1_decode1,S1,high,183,999751680,999751680.000,1003000416.000,0.000,1003000416.000,0.014996275,0.962880399,0.121911126,1.099787800,0.006009769400,0.424826817,0.467219350203,2.353900368,graph-derived-counts+hybrid-latency+analytical-energy,"dynamic READ+ACT+PRE estimate only; refresh, idle, controller, PHY, and board power excluded; link term includes base stream plus scheduler steal overhead"
batch1_decode1,S2,low,183,999751680,999751680.000,1003000416.000,93777152.000,1096777568.000,0.000999752,0.210581293,0.081316716,0.292897761,0.001600534213,0.426815047,0.125013171531,2.342935208,graph-derived-counts+hybrid-latency+analytical-energy,"dynamic READ+ACT+PRE estimate only; refresh, idle, controller, PHY, and board power excluded; link term includes base stream plus scheduler steal overhead"
